run_at,column_name,business_name,definition,calculation_logic,unit,owner,dimension,is_business_key,datasets,sf_type,null_pct_avg,distinct_count,documentation_status
2026-06-05 16:17 UTC,GRUPO_ANUNCIOS,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,"DATA_MKT_OFF, DATA_MKT_ON",TEXT,41.48,574,TO BE DEFINED
2026-06-05 16:17 UTC,VIDEO_3SEG,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,"DATA_MKT_OFF, DATA_MKT_ON",FLOAT,61.92,3003,TO BE DEFINED
2026-06-05 16:17 UTC,CLICS_ENLACE,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,"DATA_MKT_OFF, DATA_MKT_ON",FLOAT,61.59,3448,TO BE DEFINED
2026-06-05 16:17 UTC,THRUPLAY,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,"DATA_MKT_OFF, DATA_MKT_ON",NUMBER,61.97,2390,TO BE DEFINED
2026-06-05 16:17 UTC,INTERACCION,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,"DATA_MKT_OFF, DATA_MKT_ON",NUMBER,30.68,5319,TO BE DEFINED
2026-06-05 16:17 UTC,CONVERSIONES,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,FLOAT,34.31,537,TO BE DEFINED
2026-06-05 16:17 UTC,ID_CLIENTE,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,TEXT,81.95,13,TO BE DEFINED
2026-06-05 16:17 UTC,PALABRA_CLAVE,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,TEXT,81.96,1806,TO BE DEFINED
2026-06-05 16:17 UTC,CONCORDANCIA,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,TEXT,85.88,8,TO BE DEFINED
2026-06-05 16:17 UTC,CTR,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,FLOAT,75.35,6244,TO BE DEFINED
2026-06-05 16:17 UTC,CPC,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,FLOAT,75.71,8004,TO BE DEFINED
2026-06-05 16:17 UTC,CPM,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,FLOAT,81.95,8270,TO BE DEFINED
2026-06-05 16:17 UTC,IMPR_ABS_TOP,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,FLOAT,90.72,1426,TO BE DEFINED
2026-06-05 16:17 UTC,IMPR_TOP,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,FLOAT,90.72,1468,TO BE DEFINED
2026-06-05 16:17 UTC,CONVERSION_PERCENT,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,FLOAT,82.83,2,TO BE DEFINED
2026-06-05 16:17 UTC,VIEW_CONVERSION,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,FLOAT,97.86,2,TO BE DEFINED
2026-06-05 16:17 UTC,COST_CONV,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,FLOAT,97.86,2,TO BE DEFINED
2026-06-05 16:17 UTC,CONV_RATE,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,FLOAT,97.86,2,TO BE DEFINED
2026-06-05 16:17 UTC,VIDEO_25,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,FLOAT,85.06,817,TO BE DEFINED
2026-06-05 16:17 UTC,VIDEO_75,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,FLOAT,85.06,818,TO BE DEFINED
2026-06-05 16:17 UTC,RETAIL,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,TEXT,100.0,1,TO BE DEFINED
2026-06-05 16:17 UTC,NUM_SEMANA,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,"DATA_MKT_OFF, DATA_MKT_ON",NUMBER,6.74,53,TO BE DEFINED
2026-06-05 16:17 UTC,MES,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,"DATA_MKT_OFF, DATA_MKT_ON, DATA_WASTE",TEXT,6.74,25,TO BE DEFINED
2026-06-05 16:17 UTC,CLASIFICACION,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,"DATA_MKT_OFF, DATA_MKT_ON",TEXT,0.0,3,TO BE DEFINED
2026-06-05 16:17 UTC,CLUSTER,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,TEXT,93.26,5,TO BE DEFINED
2026-06-05 16:17 UTC,CADENA,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,"DATA_MKT_ON, DATA_WASTE",TEXT,93.26,15,TO BE DEFINED
2026-06-05 16:17 UTC,PLACEMENT_1,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,TEXT,93.26,5,TO BE DEFINED
2026-06-05 16:17 UTC,PLACEMENT_2,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,TEXT,93.26,45,TO BE DEFINED
2026-06-05 16:17 UTC,DETALLE_CATEGORIA_PRENDIDA_KW_PRENDIDAS,[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE DEFINED],[TO BE CLASSIFIED],False,DATA_MKT_ON,TEXT,93.53,230,TO BE DEFINED
