run_at,column_normalized,column_in_a,column_in_b,dataset_a,dataset_b,dimension_class,match_type,null_pct_a,null_pct_b,distinct_a,distinct_b,business_name,join_recommendation
2026-06-08 16:20 UTC,tipo_compra,TIPO_COMPRA,TIPO_COMPRA,DATA_MKT_ON,DATA_MKT_OFF,FACT / MEASURE,DIRECT,61.31,100.0,6,1,,✅ JOIN READY
2026-06-08 16:20 UTC,objetivo_funnel,OBJETIVO_FUNNEL,OBJETIVO_FUNNEL,DATA_MKT_ON,DATA_MKT_OFF,FACT / MEASURE,DIRECT,61.31,100.0,6,1,,✅ JOIN READY
2026-06-08 16:20 UTC,formato,FORMATO,FORMATO,DATA_MKT_ON,DATA_MKT_OFF,DIM_MARKETING,DIRECT,57.26,100.0,48,1,,✅ JOIN READY
2026-06-08 16:20 UTC,formato,FORMATO,FORMATO,DATA_MKT_ON,DATA_WASTE,DIM_MARKETING,DIRECT,57.26,0.0,48,98,,✅ JOIN READY
2026-06-08 16:20 UTC,formato,FORMATO,FORMATO,DATA_MKT_OFF,DATA_WASTE,DIM_MARKETING,DIRECT,100.0,0.0,1,98,,✅ JOIN READY
2026-06-08 16:20 UTC,inicio_informe,INICIO_INFORME,INICIO_INFORME,DATA_MKT_ON,DATA_MKT_OFF,FACT / MEASURE,DIRECT,57.44,100.0,271,1,,✅ JOIN READY
2026-06-08 16:20 UTC,fin_informe,FIN_INFORME,FIN_INFORME,DATA_MKT_ON,DATA_MKT_OFF,FACT / MEASURE,DIRECT,57.44,100.0,268,1,,✅ JOIN READY
2026-06-08 16:20 UTC,nombre_cuenta,NOMBRE_CUENTA,NOMBRE_CUENTA,DATA_MKT_ON,DATA_MKT_OFF,FACT / MEASURE,DIRECT,43.26,100.0,36,1,,✅ JOIN READY
2026-06-08 16:20 UTC,nombre_anuncio,NOMBRE_ANUNCIO,NOMBRE_ANUNCIO,DATA_MKT_ON,DATA_MKT_OFF,FACT / MEASURE,DIRECT,61.31,100.0,759,1,,✅ JOIN READY
2026-06-08 16:20 UTC,grupo_anuncios,GRUPO_ANUNCIOS,GRUPO_ANUNCIOS,DATA_MKT_ON,DATA_MKT_OFF,FACT / MEASURE,DIRECT,41.48,100.0,574,1,,✅ JOIN READY
2026-06-08 16:20 UTC,video_3seg,VIDEO_3SEG,VIDEO_3SEG,DATA_MKT_ON,DATA_MKT_OFF,FACT / MEASURE,DIRECT,61.92,100.0,3003,1,,✅ JOIN READY
2026-06-08 16:20 UTC,clics_enlace,CLICS_ENLACE,CLICS_ENLACE,DATA_MKT_ON,DATA_MKT_OFF,FACT / MEASURE,DIRECT,61.59,100.0,3448,1,,✅ JOIN READY
2026-06-08 16:20 UTC,thruplay,THRUPLAY,THRUPLAY,DATA_MKT_ON,DATA_MKT_OFF,FACT / MEASURE,DIRECT,61.97,100.0,2390,1,,✅ JOIN READY
2026-06-08 16:20 UTC,interaccion,INTERACCION,INTERACCION,DATA_MKT_ON,DATA_MKT_OFF,FACT / MEASURE,DIRECT,30.68,64.57,5319,2,,✅ JOIN READY
2026-06-08 16:20 UTC,num_semana,NUM_SEMANA,NUM_SEMANA,DATA_MKT_ON,DATA_MKT_OFF,FACT / MEASURE,DIRECT,6.74,0.0,53,52,,✅ JOIN READY
2026-06-08 16:20 UTC,mes,MES,MES,DATA_MKT_ON,DATA_MKT_OFF,DIM_DATE,DIRECT,6.74,0.0,25,24,,✅ JOIN READY
2026-06-08 16:20 UTC,mes,MES,MES,DATA_MKT_ON,DATA_WASTE,DIM_DATE,DIRECT,6.74,0.0,25,12,,✅ JOIN READY
2026-06-08 16:20 UTC,mes,MES,MES,DATA_MKT_OFF,DATA_WASTE,DIM_DATE,DIRECT,0.0,0.0,24,12,,✅ JOIN READY
2026-06-08 16:20 UTC,clasificacion,CLASIFICACION,CLASIFICACION,DATA_MKT_ON,DATA_MKT_OFF,FACT / MEASURE,DIRECT,0.0,0.0,3,1,,✅ JOIN READY
2026-06-08 16:20 UTC,cadena,CADENA,CADENA,DATA_MKT_ON,DATA_WASTE,DIM_CUSTOMER,BUSINESS_MAPPING,93.26,0.0,15,16,,⚠️ HOMOLOGATION NEEDED
