MRKT_DSC_SHRT,NIELSEN_SOURCE_TABLE,REVIEW_STATUS
Canal Tradicional _Area 2.1 Continental,EDP_NIELSEN,NEEDS_REVIEW
TRADICIONAL AREA I,WATER_NIELSEN_RIE,NEEDS_REVIEW
Total Autos San Luis Rio Colorado_MT,PB_NIELSEN,NEEDS_REVIEW
TRADICONAL MEXICO GDE,WATER_NIELSEN_RIE,NEEDS_REVIEW
Total Autos Orizaba,PB_NIELSEN,NEEDS_REVIEW
Autos Scanning Area 3,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Surt. Completo Area 1,EDP_NIELSEN,NEEDS_REVIEW
Total Autos Guaymas_MT,PB_NIELSEN,NEEDS_REVIEW
Total Autos Villahermosa,PB_NIELSEN,NEEDS_REVIEW
Autos Scanning Area 6,EDP_NIELSEN,NEEDS_REVIEW
Canal Tradicional _Area 1,EDP_NIELSEN,NEEDS_REVIEW
Canal Tradicional _Vdm Zona 3,EDP_NIELSEN,NEEDS_REVIEW
Grandes Cadenas De Autoservicio Monterrey_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
TRADICIONAL TIJUANA,WATER_NIELSEN_RIE,NEEDS_REVIEW
Autoservicios Oaxaca,EDP_NIELSEN,NEEDS_REVIEW
Canal Tradicional _Monterrey Zona 1,EDP_NIELSEN,NEEDS_REVIEW
Total Autos Matamoros,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Playa Del Carmen,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Cd. Cuauhtemoc,PB_NIELSEN,NEEDS_REVIEW
Total Area IV_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
Autoservicios Poza Rica,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Puebla,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Surt. Completo Area 5,EDP_NIELSEN,NEEDS_REVIEW
Total Autos Merida,PB_NIELSEN,NEEDS_REVIEW
Autos Scanning Area 2,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Tijuana,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Surt. Extendido Area 3,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Surtido Completo_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
Autoservicios Nuevo Laredo,EDP_NIELSEN,NEEDS_REVIEW
Canal Tradicional _Tijuana,EDP_NIELSEN,NEEDS_REVIEW
Tradicionales Pequenas _Total Mexico,EDP_NIELSEN,NEEDS_REVIEW
Canal Tradicional _San Luis Potosi,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Mexicali,PB_NIELSEN,NEEDS_REVIEW
TRADICIONAL AREA VI,WATER_NIELSEN_RIE,NEEDS_REVIEW
Total Autos Coatzacoalcos,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Monterrey,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Morelia,EDP_NIELSEN,NEEDS_REVIEW
Total Autos Chihuahua,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning San Luis Potosi,PB_NIELSEN,NEEDS_REVIEW
TDC + Farmacias Cad + Hard Discounters Area 3,EDP_NIELSEN,NEEDS_REVIEW
TRADICIONAL TOLUCA.,WATER_NIELSEN_RIE,NEEDS_REVIEW
TRADICIONALES PEQUENAS Y ESTANQUILLOS TOTAL MEXICO,WATER_NIELSEN_RIE,NEEDS_REVIEW
Total Autos Cd. Obregon_MT,PB_NIELSEN,NEEDS_REVIEW
Total Autos San Andres Tuxtla,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Guaymas,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Monclova,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Tepic,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Piedras Negras,EDP_NIELSEN,NEEDS_REVIEW
Total Autos Culiacan,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Surt. Extendido Total Mexico,EDP_NIELSEN,NEEDS_REVIEW
Total Autos Area 5,PB_NIELSEN,NEEDS_REVIEW
