SHP_CUS_IDT,CUS_IDT,CUS_GRN_CHL_DSC,CUS_NAM_DSC,CLI_CUS_ACC_GRP_COD,CLI_CUS_CHL_DSC,CLI_CUS_IND_COD,CLI_CUS_IND_DSC,CLI_CUS_1ST_IND_COD,CLI_CUS_1ST_IND_DSC,CLI_CUS_2ND_IND_COD,CLI_CUS_2ND_IND_DSC,CLI_CUS_3RD_IND_COD,CLI_CUS_3RD_IND_DSC,FACT_ROWS
752681910,752681910,UTT,3790 SC METEPEC,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,139641
752680974,752680974,UTT,3778 BA XOCHIMILCO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,139563
752680923,752680923,UTT,3764 BA IZTAPALAPA,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,139407
752681045,752681045,UTT,3905 BA SANTA ANITA,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,138357
752681139,752681139,UTT,5713 BA TLAXCALA,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,137916
752681033,752681033,UTT,3897 BA LA VIRGEN,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,137373
752680959,752680959,UTT,3803 BA OBSERVATORIO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,137361
752681416,752681416,UTT,3074 BA VILLAS DE LA HACIENDA,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,137316
752681000,752681000,UTT,3802 BA CONVENCION AGUASCALIENTES,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,137070
752681473,752681473,UTT,1150 BA HUEHUETOCA,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,136911
752682051,752682051,UTT,2381 SC MORELIA,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,136674
752681235,752681235,UTT,1035 BA FORJADORES (CHOLULA),Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,136401
752682131,752682131,UTT,3061 SC COMBO PACHUCA,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,135969
752682055,752682055,UTT,2346 SC AGUASCALIENTES,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,135957
752681049,752681049,UTT,3913 BA FCO JUARE,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,135837
752682139,752682139,UTT,3900 SC COACALCO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,135555
752681974,752681974,UTT,2644 SC PATIO TLALPAN,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,135387
752681993,752681993,UTT,3876 SC LAS AGUILAS,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,135051
752681952,752681952,UTT,3862 SC AZCAPOTZALCO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,134850
