mrkt_dsc_shrt,mrkt_dsc_shrt_norm,market_key,canal_std,canal_lvl1,canal_lvl2,agg_level,region_type,region_std,region_detail,is_total_mexico,is_scanning,source_cbu,promoted,confirmation_status,notes
Total Autos San Luis Rio Colorado,TOTAL AUTOS SAN LUIS RIO COLORADO,deb182b8cf605cac,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,SAN LUIS RIO COLORADO,,NO,NO,PB,YES,CONFIRMED,
Total Autos San Andres Tuxtla,TOTAL AUTOS SAN ANDRES TUXTLA,c4ed41151d387eba,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,SAN ANDRES TUXTLA,,NO,NO,PB,YES,CONFIRMED,
Total Autos Queretaro,TOTAL AUTOS QUERETARO,397c9d44871be6f1,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,QUERETARO,,NO,NO,PB,YES,CONFIRMED,
Total Autos Chihuahua,TOTAL AUTOS CHIHUAHUA,92d6ec74651593e9,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,CHIHUAHUA,,NO,NO,PB,YES,CONFIRMED,
TOTAL AUTOS AREA 1 + AREA 2,TOTAL AUTOS AREA 1 + AREA 2,5fc2ce703647a43f,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_1_2,,NO,NO,PB,YES,CONFIRMED,
Total Autos Tijuana,TOTAL AUTOS TIJUANA,6446f2da8aa53ba8,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,TIJUANA,,NO,NO,PB,YES,CONFIRMED,
Total Autos Villahermosa,TOTAL AUTOS VILLAHERMOSA,b25b2621cad3deba,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,VILLAHERMOSA,,NO,NO,PB,YES,CONFIRMED,
Total Autos Tuxtla Gutierrez,TOTAL AUTOS TUXTLA GUTIERREZ,cc2708b40997b2b9,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,TUXTLA GUTIERREZ,,NO,NO,PB,YES,CONFIRMED,
Total Autos Puebla,TOTAL AUTOS PUEBLA,da787d89bb73052a,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,PUEBLA,,NO,NO,PB,YES,CONFIRMED,
Total Autos Coatzacoalcos,TOTAL AUTOS COATZACOALCOS,6d52d2b86b06bb7d,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,COATZACOALCOS,,NO,NO,PB,YES,CONFIRMED,
Total Autos Tapachula,TOTAL AUTOS TAPACHULA,baf00f31df6289ca,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,TAPACHULA,,NO,NO,PB,YES,CONFIRMED,
TOTAL AUTOS AREA 3 - AREA 6,TOTAL AUTOS AREA 3 - AREA 6,1d84b3bb418c8d10,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_3_6,,NO,NO,PB,YES,CONFIRMED,
Total Autos Tecate,TOTAL AUTOS TECATE,b432f7afa9e28d58,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,TECATE,,NO,NO,PB,YES,CONFIRMED,
Total Autos Mexicali,TOTAL AUTOS MEXICALI,545f737800b0b301,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,MEXICALI,,NO,NO,PB,YES,CONFIRMED,
Total Autos Tepic,TOTAL AUTOS TEPIC,3e033bdf2ec1f4fb,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,TEPIC,,NO,NO,PB,YES,CONFIRMED,
Total Autos Saltillo,TOTAL AUTOS SALTILLO,991fca0e5b1ba995,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,SALTILLO,,NO,NO,PB,YES,CONFIRMED,
Total Autos Tecate_MT,TOTAL AUTOS TECATE_MT,04f1a7ea0fddfe93,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,TECATE,,NO,NO,PB,YES,CONFIRMED,
Total Autos Cd. Valles_MT,TOTAL AUTOS CD. VALLES_MT,208724ab63518cdb,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,CD VALLES,,NO,NO,PB,YES,CONFIRMED,
Total Autos San Luis Rio Colorado_MT,TOTAL AUTOS SAN LUIS RIO COLORADO_MT,9d99125b37224edf,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,SAN LUIS RIO COLORADO,,NO,NO,PB,YES,CONFIRMED,
Total Autos Toluca_MT,TOTAL AUTOS TOLUCA_MT,8c47bc5fd1cead5a,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,TOLUCA,,NO,NO,PB,YES,CONFIRMED,
Total Autos Cd. Obregon_MT,TOTAL AUTOS CD. OBREGON_MT,f05b1549e3a47537,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,CD OBREGON,,NO,NO,PB,YES,CONFIRMED,
Total Autos Tapachula_MT,TOTAL AUTOS TAPACHULA_MT,93b0962ecda538f8,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,TAPACHULA,,NO,NO,PB,YES,CONFIRMED,
Total Autos Poza Rica_MT,TOTAL AUTOS POZA RICA_MT,fba491c9e5247a8b,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,POZA RICA,,NO,NO,PB,YES,CONFIRMED,
Total Autos Cd. Cuauhtemoc_MT,TOTAL AUTOS CD. CUAUHTEMOC_MT,8203aac367430be7,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,CD CUAUHTEMOC,,NO,NO,PB,YES,CONFIRMED,
Total Autos Guaymas_MT,TOTAL AUTOS GUAYMAS_MT,9d1bc063c6efebb6,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,GUAYMAS,,NO,NO,PB,YES,CONFIRMED,
Total Autos Cd. Del Carmen_MT,TOTAL AUTOS CD. DEL CARMEN_MT,e7f89321e9ad485c,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,CD DEL CARMEN,,NO,NO,PB,YES,CONFIRMED,
Total Autos San Andres Tuxtla_MT,TOTAL AUTOS SAN ANDRES TUXTLA_MT,352dc404f65c4136,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,CITY,SAN ANDRES TUXTLA,,NO,NO,PB,YES,CONFIRMED,
Autoservicios Scanning San Luis Rio Colorado,AUTOSERVICIOS SCANNING SAN LUIS RIO COLORADO,579773cc87cc3bd5,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,SAN LUIS RIO COLORADO,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Tapachula,AUTOSERVICIOS SCANNING TAPACHULA,934d311313252b6e,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,TAPACHULA,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning San Andres Tuxtla,AUTOSERVICIOS SCANNING SAN ANDRES TUXTLA,091cd607c2abf514,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,SAN ANDRES TUXTLA,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Surt. Esencial Area 1,AUTOSERVICIOS SURT. ESENCIAL AREA 1,e76973a5ae111881,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_1,,NO,NO,PB,YES,AUTO_CLASSIFIED,"Filled from PB Nielsen classification rules using established patterns for Scanning, Surtido, Areas, Cities, VDM and Total Mexico."
Autoservicios Scanning Matamoros,AUTOSERVICIOS SCANNING MATAMOROS,02e0c20959ab180d,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,MATAMOROS,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Durango,AUTOSERVICIOS SCANNING DURANGO,0b342bd978c94122,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,DURANGO,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Surt. Completo Area 3,AUTOSERVICIOS SURT. COMPLETO AREA 3,fd25fa1993c71f65,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_3,,NO,NO,PB,YES,AUTO_CLASSIFIED,"Filled from PB Nielsen classification rules using established patterns for Scanning, Surtido, Areas, Cities, VDM and Total Mexico."
Autoservicios Scanning Campeche,AUTOSERVICIOS SCANNING CAMPECHE,43a19adc3df272f4,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,CAMPECHE,,NO,YES,PB,YES,CONFIRMED,
Autos Scanning Area 4,AUTOS SCANNING AREA 4,881c8d18ccdb76a4,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,TOTAL,AREA,AREA_4,,NO,YES,PB,YES,AUTO_CLASSIFIED,"Filled from PB Nielsen classification rules using established patterns for Scanning, Surtido, Areas, Cities, VDM and Total Mexico."
Autoservicios Surt. Esencial Area 5,AUTOSERVICIOS SURT. ESENCIAL AREA 5,6c0972bf1c78d41e,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_5,,NO,NO,PB,YES,AUTO_CLASSIFIED,"Filled from PB Nielsen classification rules using established patterns for Scanning, Surtido, Areas, Cities, VDM and Total Mexico."
Autoservicios Scanning Valle de Mexico,AUTOSERVICIOS SCANNING VALLE DE MEXICO,126ebb2284df72d2,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,VDM,VDM,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Cancun,AUTOSERVICIOS SCANNING CANCUN,9646ed900d804c36,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,CANCUN,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Scanning Reynosa,AUTOSERVICIOS SCANNING REYNOSA,3b39674f15ab9b9b,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,REYNOSA,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Surt. Esencial Area 2,AUTOSERVICIOS SURT. ESENCIAL AREA 2,3dafe79e5a76f6c2,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_2,,NO,NO,PB,YES,AUTO_CLASSIFIED,"Filled from PB Nielsen classification rules using established patterns for Scanning, Surtido, Areas, Cities, VDM and Total Mexico."
Autoservicios Surt. Completo Area 5,AUTOSERVICIOS SURT. COMPLETO AREA 5,f1b772286ebbdb06,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_5,,NO,NO,PB,YES,AUTO_CLASSIFIED,"Filled from PB Nielsen classification rules using established patterns for Scanning, Surtido, Areas, Cities, VDM and Total Mexico."
Autoservicios Surt. Extendido Area 5,AUTOSERVICIOS SURT. EXTENDIDO AREA 5,6e5ebc5865be20c7,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_5,,NO,NO,PB,YES,AUTO_CLASSIFIED,"Filled from PB Nielsen classification rules using established patterns for Scanning, Surtido, Areas, Cities, VDM and Total Mexico."
Autoservicios Surt. Extendido Area 2,AUTOSERVICIOS SURT. EXTENDIDO AREA 2,e19390262b3c1755,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_2,,NO,NO,PB,YES,AUTO_CLASSIFIED,"Filled from PB Nielsen classification rules using established patterns for Scanning, Surtido, Areas, Cities, VDM and Total Mexico."
Autoservicios Scanning Orizaba,AUTOSERVICIOS SCANNING ORIZABA,4ba3984e0a8d8382,AUTOSERVICIO_SCANNING,MODERNO,AUTOSERVICIO_SCANNING,DETAIL,CITY,ORIZABA,,NO,YES,PB,YES,CONFIRMED,
Autoservicios Surt. Esencial Area 3,AUTOSERVICIOS SURT. ESENCIAL AREA 3,aedda53ada343b74,AUTOSERVICIO,MODERNO,AUTOSERVICIO,TOTAL,AREA,AREA_3,,NO,NO,PB,YES,AUTO_CLASSIFIED,"Filled from PB Nielsen classification rules using established patterns for Scanning, Surtido, Areas, Cities, VDM and Total Mexico."
