"""market_id""",MRKT_DSC_SHRT,"""hierarchy_level""","""hierarchy_number""","""hierarchy_name""","""hierarchy_column""",nielsen_source_cbu,mrkt_key,canal_std_m1,region_std_m1,mapping_status,channel_standard,gran_canal_grp,chain_standard,format_standard,canal_std,region_std
20239165,Autoservicios Scanning Cozumel,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING COZUMEL,AUTOSERVICIO_SCANNING,COZUMEL,CONFIRMED,MODERNO,UTT,,,MODERNO,COZUMEL
20239245,Autoservicios Scanning Cuernavaca,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING CUERNAVACA,AUTOSERVICIO_SCANNING,CUERNAVACA,CONFIRMED,MODERNO,UTT,,,MODERNO,CUERNAVACA
20239158,Autoservicios Scanning Culiacan,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING CULIACAN,AUTOSERVICIO_SCANNING,CULIACAN,CONFIRMED,MODERNO,UTT,,,MODERNO,CULIACAN
20239214,Autoservicios Scanning Delicias,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING DELICIAS,AUTOSERVICIO_SCANNING,DELICIAS,CONFIRMED,MODERNO,UTT,,,MODERNO,DELICIAS
20239244,Autoservicios Scanning Durango,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING DURANGO,AUTOSERVICIO_SCANNING,DURANGO,CONFIRMED,MODERNO,UTT,,,MODERNO,DURANGO
20239259,Autoservicios Scanning Ensenada,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING ENSENADA,AUTOSERVICIO_SCANNING,ENSENADA,CONFIRMED,MODERNO,UTT,,,MODERNO,ENSENADA
20239198,Autoservicios Scanning Guadalajara,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING GUADALAJARA,AUTOSERVICIO_SCANNING,GUADALAJARA,CONFIRMED,MODERNO,UTT,,,MODERNO,GUADALAJARA
20243242,Autoservicios Scanning Guaymas,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING GUAYMAS,AUTOSERVICIO_SCANNING,GUAYMAS,CONFIRMED,MODERNO,UTT,,,MODERNO,GUAYMAS
20239260,Autoservicios Scanning Hermosillo,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING HERMOSILLO,AUTOSERVICIO_SCANNING,HERMOSILLO,CONFIRMED,MODERNO,UTT,,,MODERNO,HERMOSILLO
20239197,Autoservicios Scanning Irapuato,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING IRAPUATO,AUTOSERVICIO_SCANNING,IRAPUATO,CONFIRMED,MODERNO,UTT,,,MODERNO,IRAPUATO
20239242,Autoservicios Scanning La Paz,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING LA PAZ,AUTOSERVICIO_SCANNING,LA PAZ,CONFIRMED,MODERNO,UTT,,,MODERNO,LA PAZ
20239265,Autoservicios Scanning Leon,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING LEON,AUTOSERVICIO_SCANNING,LEON,CONFIRMED,MODERNO,UTT,,,MODERNO,LEON
20239211,Autoservicios Scanning Los Cabos,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING LOS CABOS,AUTOSERVICIO_SCANNING,LOS CABOS,CONFIRMED,MODERNO,UTT,,,MODERNO,LOS CABOS
20239263,Autoservicios Scanning Matamoros,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING MATAMOROS,AUTOSERVICIO_SCANNING,MATAMOROS,CONFIRMED,MODERNO,UTT,,,MODERNO,MATAMOROS
20239212,Autoservicios Scanning Mazatlan,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING MAZATLAN,AUTOSERVICIO_SCANNING,MAZATLAN,CONFIRMED,MODERNO,UTT,,,MODERNO,MAZATLAN
20239269,Autoservicios Scanning Merida,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING MERIDA,AUTOSERVICIO_SCANNING,MERIDA,CONFIRMED,MODERNO,UTT,,,MODERNO,MERIDA
20239243,Autoservicios Scanning Mexicali,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING MEXICALI,AUTOSERVICIO_SCANNING,MEXICALI,CONFIRMED,MODERNO,UTT,,,MODERNO,MEXICALI
20239248,Autoservicios Scanning Minatitlan,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING MINATITLAN,AUTOSERVICIO_SCANNING,MINATITLAN,CONFIRMED,MODERNO,UTT,,,MODERNO,MINATITLAN
20239226,Autoservicios Scanning Monclova,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING MONCLOVA,AUTOSERVICIO_SCANNING,MONCLOVA,CONFIRMED,MODERNO,UTT,,,MODERNO,MONCLOVA
20239178,Autoservicios Scanning Monterrey,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING MONTERREY,AUTOSERVICIO_SCANNING,MONTERREY,CONFIRMED,MODERNO,UTT,,,MODERNO,MONTERREY
20239199,Autoservicios Scanning Morelia,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING MORELIA,AUTOSERVICIO_SCANNING,MORELIA,CONFIRMED,MODERNO,UTT,,,MODERNO,MORELIA
