INT_ID,IMPORT_ID,SO_NAME,SO_BRAND,CBU_ID,match_priority,match_method,match_confidence,review_status
79298510096,79298510096,EVIAN AGUA DE MANANTIAL NATURAL AGUA CON BALANCE UNICO DE MINERALES FILTRADA NATURALMENTE,EVIAN,3,3,UNMATCHED,0.0,NEEDS_REVIEW
75810400578,7581040057,AGUA SABOR / BONAFONT C/JUGO / SURTIDO / 24PZ / 0.3LT / 7.2LT Chupon,BONAFONT KIDS,2,3,UNMATCHED,0.0,NEEDS_REVIEW
758104000135,75810400013,AGUA NATURAL / BONAFONT / NATURAL / 24PZ / 0.33LT / 7.9L,BONAFONT,3,3,UNMATCHED,0.0,NEEDS_REVIEW
980002839,98000283,12/1.5 LT LEVITE FRESA,LEVITE,3,3,UNMATCHED,0.0,NEEDS_REVIEW
758104000715,75810400071,AGUA SABOR / LEVITE / LIMON / 1PZ / 0.75LT / 0.75LT,LEVITE,3,3,UNMATCHED,0.0,NEEDS_REVIEW
40009579419,40009579419,BONAFONT ENV AGUA ENVASES BONAFONT ENVASE 20LT 40009579419,BEC,3,3,UNMATCHED,0.0,NEEDS_REVIEW
758104001910,75810400191,Bipack Levite 2 x 1.5 L mas PROD BELL,LEVITE,2,3,UNMATCHED,0.0,NEEDS_REVIEW
758104001644,75810400164,AGUA SABOR / LEVITE CLASICA / JAMAICA / 6PZ / 0.5LT / 3LT,LEVITE,2,3,UNMATCHED,0.0,NEEDS_REVIEW
758104000845,75810400084,BEBIDA TORONJA MAUI 750 ML BONAFONT LEVITE,LEVITE,3,3,UNMATCHED,0.0,NEEDS_REVIEW
750179162651,750179162651,AGUA GV 1.5 LT,OTROS,3,3,UNMATCHED,0.0,NEEDS_REVIEW
40009542950,4000954295,BONAFONT ENVASE 20LT 40009542950,BEC,2,3,UNMATCHED,0.0,NEEDS_REVIEW
147002,147002,BASURA SAMS 6/500ML AGUA,BONAFONT,2,3,UNMATCHED,0.0,NEEDS_REVIEW
7501032312138,750103231213,DANONINO BANANA 180G (4X45G)  66293,DANONINO,1,3,UNMATCHED,0.0,NEEDS_REVIEW
17563,17563,Bonafont 11lts envase,BEC,3,3,UNMATCHED,0.0,NEEDS_REVIEW
75810400422,75810400422,AGUA SABOR / BONAFONT C/JUGO / SURTIDO / 6PZAS / 0.3LT /1.8,BONAFONT KIDS,2,3,UNMATCHED,0.0,NEEDS_REVIEW
40009575733,40009575733,BONAFONT ENV AGUA ENVASES BONAFONT ENVASE 20LT 40009575733,BEC,2,3,UNMATCHED,0.0,NEEDS_REVIEW
2113173644,2113173644,OIKOS YOGURT GRIEGO NATURAL ENDULZADO,OIKOS,1,3,UNMATCHED,0.0,NEEDS_REVIEW
2114975646,2114975646,3 X OIKOS YOGHURT GRIEGO COCO RALLADO,OIKOS,1,3,UNMATCHED,0.0,NEEDS_REVIEW
75810400580,7581040058,AGUA SABOR / BONAFONT C/ JUGO / SURTIDO / 12PZ / 0.6LT / 7.2LT,JUIZZY,2,3,UNMATCHED,0.0,NEEDS_REVIEW
2000118560654,2000118560654,BONAFONT 24 PACK 600 ML,BONAFONT,3,3,UNMATCHED,0.0,NEEDS_REVIEW
0041271009705,004127100970,DELIGHT PUMKIN SPICE (946ml) 12CT,DELIGHT,1,3,UNMATCHED,0.0,NEEDS_REVIEW
40009575697,40009575697,BONAFONT ENV AGUA ENVASES BONAFONT ENVASE 20LT 40009575697,BEC,2,3,UNMATCHED,0.0,NEEDS_REVIEW
7503021651037,7503021651037,Hielo Bolsa 4.5 kg,BONAFONT,2,3,UNMATCHED,0.0,NEEDS_REVIEW
7501022019009,750102201900,BASURA SORIANA 7501022019009,OTROS,2,3,UNMATCHED,0.0,NEEDS_REVIEW
1563818898,1563818898,2 x levite agua infusionada sandia limon 1l,LEVITE,2,3,UNMATCHED,0.0,NEEDS_REVIEW
2113464387,2113464387,2 X Bonafont Juizzy Tamarindo,JUIZZY,2,3,UNMATCHED,0.0,NEEDS_REVIEW
75810400667,75810400667,AGUA SABOR / LEVITE / SURTIDO / 11 PZ / 1 L / 11 L,LEVITE,2,3,UNMATCHED,0.0,NEEDS_REVIEW
10000075061675,1000007506167,AGUA SABOR / BONAFONT KIDS / MANZANA / 24PZ / 7.2LT,BONAFONT KIDS,3,3,UNMATCHED,0.0,NEEDS_REVIEW
79298000177,7929800017,AGUA NATURAL / EVIAN / NATURAL / 6PZ / 0.330LT / 1.98 LT,EVIAN,2,3,UNMATCHED,0.0,NEEDS_REVIEW
-99,-99,REGISTRO FALSO,NA,3,3,UNMATCHED,0.0,NEEDS_REVIEW
25293001367,25293001367,LECHE DE ALMENDRAS SILK VAINILLA SIN AZUCAR 1.8 L,SILK,1,3,UNMATCHED,0.0,NEEDS_REVIEW
75810400603,7581040060,LEVITE MIX 12/1LT LEVITE,LEVITE,2,3,UNMATCHED,0.0,NEEDS_REVIEW
750179162482,750179162482,AGUA GV 1 LT,OTROS,3,3,UNMATCHED,0.0,NEEDS_REVIEW
252930024254,252930024254,Alimento liquido sabor coco/almendras 1.89 l,SILK,1,3,UNMATCHED,0.0,NEEDS_REVIEW
758104003730,75810400373,AGUA SABOR / BONAFONT C/JUGO / SURTIDO / 8PZ / 0.3LT / 2.4LT,BONAFONT KIDS,2,3,UNMATCHED,0.0,NEEDS_REVIEW
7503003535591,750300353559,BOMBA DE AGUA A PRESION BONAFONT,BEC,3,3,UNMATCHED,0.0,NEEDS_REVIEW
1563818808,1563818808,2 X BONAFONT AGUAS FRESCAS DE SANDIA 1L,BONAFONT,2,3,UNMATCHED,0.0,NEEDS_REVIEW
2115015978,2115015978,3 X DANETTE NATILLA VAINILLA 100 G,DANETTE,1,3,UNMATCHED,0.0,NEEDS_REVIEW
2114892451,2114892451,COMBO CHIP S SAL + OIKOS NATURAL,OIKOS,1,3,UNMATCHED,0.0,NEEDS_REVIEW
758104001828,75810400182,NATURAL / BONAFONT / NATURAL / 1.5 L / 1 PZ / 1.5 L,BONAFONT,2,3,UNMATCHED,0.0,NEEDS_REVIEW
980036082,98003608,AGUA NATURAL / INFINIT / NATURAL / 6PZ / 0.950LT /5.7LT.,INFINIT WATER,3,3,UNMATCHED,0.0,NEEDS_REVIEW
758104003655,75810400365,AGUA NATURAL / BONAFONT / NATURAL / 6PZ / 1.5LT / 9LTMAS RELOJ,BONAFONT,3,3,UNMATCHED,0.0,NEEDS_REVIEW
40009579426,40009579426,BONAFONT ENV AGUA ENVASES BONAFONT ENVASE 20LT 40009579426,BEC,3,3,UNMATCHED,0.0,NEEDS_REVIEW
25293003675,2529300367,SILK ALM ORIGINAL 190ML,SILK,1,3,UNMATCHED,0.0,NEEDS_REVIEW
40009555542,40009555542,BONAFONT ENV AGUA ENVASES BONAFONT ENVASE 20LT 40009555542,BEC,3,3,UNMATCHED,0.0,NEEDS_REVIEW
1563818852,1563818852,2 x levite agua infusionada con frutos rojos 1l,LEVITE,2,3,UNMATCHED,0.0,NEEDS_REVIEW
