column_name,row_count,value
CUS_CHL_ARE_DSC,22651.000000000000000000,REGION I
CUS_CHL_ARE_DSC,20480.000000000000000000,REGION II
CUS_CHL_ARE_DSC,15019.000000000000000000,GLOBALES
CUS_CHL_ARE_DSC,11246.000000000000000000,REGION VII
CUS_PRC_LIS_TYP_COD,2403496.000000000000000000,#
CUS_PRC_LIS_TYP_COD,2087025.000000000000000000,
CUS_PRC_LIS_TYP_COD,528281.000000000000000000,MB
CUS_PRC_LIS_TYP_COD,209613.000000000000000000,MO
CUS_PRC_LIS_TYP_COD,204748.000000000000000000,10
CUS_PRC_LIS_TYP_COD,179591.000000000000000000,M9
CUS_PRC_LIS_TYP_COD,175399.000000000000000000,MH
CUS_PRC_LIS_TYP_COD,166991.000000000000000000,04
CUS_PRC_LIS_TYP_COD,165391.000000000000000000,06
CUS_PRC_LIS_TYP_COD,163288.000000000000000000,MY
CUS_PRC_LIS_TYP_COD,131791.000000000000000000,02
CUS_PRC_LIS_TYP_COD,115467.000000000000000000,22
CUS_PRC_LIS_TYP_COD,104075.000000000000000000,03
CUS_PRC_LIS_TYP_COD,82001.000000000000000000,21
CUS_PRC_LIS_TYP_COD,75074.000000000000000000,NA
CUS_PRC_LIS_TYP_COD,60180.000000000000000000,MQ
CUS_PRC_LIS_TYP_COD,52891.000000000000000000,MM
CUS_PRC_LIS_TYP_COD,44690.000000000000000000,MZ
CUS_PRC_LIS_TYP_COD,26434.000000000000000000,ND
CUS_PRC_LIS_TYP_COD,19520.000000000000000000,NC
PXY_CAT_1ST_COD,1567981.000000000000000000,ZMXPLA
PXY_CAT_1ST_COD,1448893.000000000000000000,#
PXY_CAT_1ST_COD,1407495.000000000000000000,1
PXY_CAT_1ST_COD,840261.000000000000000000,ZMXBRO
PXY_CAT_1ST_COD,470562.000000000000000000,ZMXORO
PXY_CAT_1ST_COD,213806.000000000000000000,4
PXY_CAT_1ST_COD,178173.000000000000000000,10
PXY_CAT_1ST_COD,140045.000000000000000000,ZMXESP
PXY_CAT_1ST_COD,138797.000000000000000000,ZMXDIA
PXY_CAT_1ST_COD,128566.000000000000000000,ZMXHOM
PXY_CAT_1ST_COD,102052.000000000000000000,2
PXY_CAT_1ST_COD,78563.000000000000000000,ZMXSLC
PXY_CAT_1ST_COD,64081.000000000000000000,11
PXY_CAT_1ST_COD,48710.000000000000000000,ZMXAFO
PXY_CAT_1ST_COD,47289.000000000000000000,ZMXHOR
PXY_CAT_1ST_COD,43820.000000000000000000,ZMXSAL
