cardinality_class,column_name,distinct_values,null_count,total_count
CADENA_CANDIDATE,CUS_4TH_IND_DSC,116.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,CUS_5TH_IND_COD,850.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,CUS_5TH_IND_DSC,833.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
CADENA_CANDIDATE,DIS_CHL_COD,22.000000000000000000,1010295.000000000000000000,7085107.000000000000000000
CADENA_CANDIDATE,DIS_CHL_DSC,21.000000000000000000,1010295.000000000000000000,7085107.000000000000000000
CADENA_CANDIDATE,CUS_CHL_ARE_DSC,35.000000000000000000,435076.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_SAL_RGN_DSC,13.000000000000000000,427942.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,CUS_SAL_PLT_COD,213.000000000000000000,8.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,CUS_SAL_PLT_DSC,203.000000000000000000,26.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,CUS_SAL_PLT_PLAZA,283.000000000000000000,381603.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,PLT_TYP_COD,3.000000000000000000,2480934.000000000000000000,7085107.000000000000000000
CADENA_CANDIDATE,CUS_PRC_LIS_TYP_COD,59.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
CADENA_CANDIDATE,PXY_CAT_1ST_COD,37.000000000000000000,23986.000000000000000000,7085107.000000000000000000
CADENA_CANDIDATE,PXY_CAT_1ST_DSC,32.000000000000000000,24139.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,PXY_CAT_2ND_COD,212.000000000000000000,2087026.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,PXY_CAT_2ND_DSC,211.000000000000000000,2087026.000000000000000000,7085107.000000000000000000
CADENA_CANDIDATE,CLU_SHT_DSC,32.000000000000000000,24139.000000000000000000,7085107.000000000000000000
CADENA_CANDIDATE,CUS_ABC_CLS_COD,102.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,CUS_SAL_OFI_COD,215.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,CUS_SAL_OFI_DSC,213.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,CUS_SAL_GRP_COD,648.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,CUS_SAL_GRP_DSC,648.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_SAL_RGN_COD,9.000000000000000000,2481072.000000000000000000,7085107.000000000000000000
CANAL_CANDIDATE,CUS_NIE_COD,12.000000000000000000,2474561.000000000000000000,7085107.000000000000000000
CADENA_CANDIDATE,CUS_IND_KEY_COD,44.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
CADENA_CANDIDATE,CUS_IND_KEY_DSC,16.000000000000000000,2202200.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,CUS_1ST_TAX_COD,110988.000000000000000000,39.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,CTECAD_RAZONSOCIAL,2003940.000000000000000000,60084.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,ITM_PRP_COD,870.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,PRV_CUS_COD,2926070.000000000000000000,2133498.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,CUS_ADR_CTY_DSC,26301.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,CUS_ADR_CTY_PST_COD,35952.000000000000000000,423833.000000000000000000,7085107.000000000000000000
CADENA_CANDIDATE,CUS_ADR_RGN_COD,78.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,CUS_ADR_RGN_DSC,181515.000000000000000000,2087025.000000000000000000,7085107.000000000000000000
TOO_GRANULAR,CUS_ADR_STR_DSC,1228212.000000000000000000,5112.000000000000000000,7085107.000000000000000000
