RAW_VARIANT,BRAND_ORIGINAL,GRAIN_COUNT,SOURCE_COLUMN,SOURCE_SYSTEM,marca_std,brand_owner,coverage_status
CUNNINGTON,CUNNINGTON,11,MARCA,MKT_OFF,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
PASCUAL,PASCUAL,5,MARCA,MKT_OFF,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
AGUAS_TAGARE,AGUAS_TAGARE,14,MARCA,MKT_OFF,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
JUMEX_BIDA,JUMEX_BIDA,349,MARCA,MKT_OFF,JUMEX,COMPETITOR,CONFIRMED
ALPURA_LECHES,ALPURA_LECHES,10804,MARCA,MKT_OFF,ALPURA,COMPETITOR,CONFIRMED
BONAFONT_NATURAL,BONAFONT_NATURAL,28817,MARCA,MKT_OFF,BONAFONT,DANONE,CONFIRMED
DGARI,DGARI,6299,MARCA,MKT_OFF,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LALA_NATURALES,LALA_NATURALES,3272,MARCA,MKT_OFF,LALA,COMPETITOR,CONFIRMED
LALA_YOGURT,LALA_YOGURT,8626,MARCA,MKT_OFF,LALA,COMPETITOR,CONFIRMED
JUMEX_UNICO,JUMEX_UNICO,1342,MARCA,MKT_OFF,JUMEX,COMPETITOR,CONFIRMED
PERRIER,PERRIER,8,MARCA,MKT_OFF,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
JOYA,JOYA,9,MARCA,MKT_OFF,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SCHWEPPES,SCHWEPPES,1323,MARCA,MKT_OFF,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LALA_CREMA,LALA_CREMA,3724,MARCA,MKT_OFF,LALA,COMPETITOR,CONFIRMED
CIEL,CIEL,2178,MARCA,MKT_OFF,CIEL,COMPETITOR,CONFIRMED
DNP,DNP,498,MARCA,MKT_OFF,_MULTIBRAND,DANONE,CONFIRMED
ALPURA_GRIEGO,ALPURA_GRIEGO,1741,MARCA,MKT_OFF,ALPURA,COMPETITOR,CONFIRMED
BONAFONT_KIDS,BONAFONT_KIDS,2,MARCA,MKT_OFF,BONAFONT KIDS,DANONE,CONFIRMED
VITALOE,VITALOE,28356,MARCA,MKT_OFF,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LALA,LALA,31939,MARCA,MKT_OFF,LALA,COMPETITOR,CONFIRMED
YOPLAIT_GRIE_GO,YOPLAIT_GRIE_GO,1603,MARCA,MKT_OFF,YOPLAIT,COMPETITOR,CONFIRMED
LALA_BIO4,LALA_BIO4,93,MARCA,MKT_OFF,LALA,COMPETITOR,CONFIRMED
AGUA_PASCUAL,AGUA_PASCUAL,400,MARCA,MKT_OFF,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SANGRIA,SANGRIA,77,MARCA,MKT_OFF,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SKARCH,SKARCH,2533,MARCA,MKT_OFF,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LULU,LULU,12,MARCA,MKT_OFF,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
