RAW_VARIANT,BRAND_ORIGINAL,GRAIN_COUNT,SOURCE_COLUMN,SOURCE_SYSTEM,marca_std,brand_owner,coverage_status
VAJILLA,Vajilla,7,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
SILKCHOCO190ML,SILKCHOCO190ML,2,LV2_UMB_BRD_DSC,SELL_IN,SILK,DANONE,CONFIRMED
CARRERA,Carrera,2,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
WMW,Wmw,1,LV2_UMB_BRD_DSC,SELL_IN,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LEVITE,Levite,19,LV2_UMB_BRD_DSC,SELL_IN,LEVITE,DANONE,CONFIRMED
BADOIT,BADOIT,17,LV2_UMB_BRD_DSC,SELL_IN,BADOIT,DANONE,CONFIRMED
BENEGASTRO,BENEGASTRO,17,LV2_UMB_BRD_DSC,SELL_IN,BENEGASTRO,DANONE,CONFIRMED
BONAFONT SER,BONAFONT SER,10,LV2_UMB_BRD_DSC,SELL_IN,BONAFONT SER,DANONE,CONFIRMED
DANONE HERSHEYS,DANONE HERSHEYS,3,LV2_UMB_BRD_DSC,SELL_IN,HERSHEYS,DANONE,CONFIRMED
STOK,STOK,4,LV2_UMB_BRD_DSC,SELL_IN,STOK,DANONE,CONFIRMED
AZUL BONAFONT,Azul Bonafont,1,LV2_UMB_BRD_DSC,SELL_IN,BONAFONT,DANONE,CONFIRMED
PALAS,Palas,1,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
CERAMICA,Ceramica,1,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
BUTTER,BUTTER,1,LV2_UMB_BRD_DSC,SELL_IN,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
UTENSILIOS,Utensilios,1,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
VASOS,Vasos,12,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
FLEXIBLES,FLEXIBLES,2,LV2_UMB_BRD_DSC,SELL_IN,_MERCHANDISE,DANONE,CONFIRMED
VOLVIC,VOLVIC,9,LV2_UMB_BRD_DSC,SELL_IN,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
AGA,Aga,4,LV2_UMB_BRD_DSC,SELL_IN,PUREZA AGA,DANONE,CONFIRMED
FONTAINE,Fontaine,2,LV2_UMB_BRD_DSC,SELL_IN,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
