RAW_VARIANT,BRAND_ORIGINAL,GRAIN_COUNT,SOURCE_COLUMN,SOURCE_SYSTEM,marca_std,brand_owner,coverage_status
FUENSANTA,FUENSANTA,29,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
FITLINE,FITLINE,8,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
FRUT,FRUT,2,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
WINKY,WINKY,18,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
DEL VALLE,DEL VALLE,106,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SKARCH,SKARCH,69,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
DASANI,DASANI,12,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BONAFINA,BONAFINA,102,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
JUMEX MIA,JUMEX MIA,17,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
PURE LIFE,PURE LIFE,10,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
MINUTE MAID,MINUTE MAID,45,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
GLACEAU,GLACEAU,25,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
FLORIDA 7,FLORIDA 7,23,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LEON,LEON,7,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
ARROWHEAD,ARROWHEAD,27,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CRYSPURA,CRYSPURA,32,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
TAMPICO,TAMPICO,85,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LA PUREZA,LA PUREZA,6,CSTM_310589,NIELSEN_WATER_RT,LA PUREZA,COMPETITOR,CONFIRMED
SELLO ROJO,SELLO ROJO,48,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BIG,BIG,96,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LAS PUENTES,LAS PUENTES,6,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
ROCIO,ROCIO,13,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SOLEM,SOLEM,27,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
ACAPULCO,ACAPULCO,15,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
INFINIT,INFINIT,6,CSTM_310589,NIELSEN_WATER_RT,INFINIT,DANONE,CONFIRMED
AQUA VITA,AQUA VITA,6,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SAFARI,SAFARI,23,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LA NORIA,LA NORIA,6,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
FRUTOS DE VIDA,FRUTOS DE VIDA,18,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SANTA MONICA,SANTA MONICA,10,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
NOVALIV,NOVALIV,45,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
PURISIMA,PURISIMA,15,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
EVIAN,EVIAN,35,CSTM_310589,NIELSEN_WATER_RT,EVIAN,DANONE,CONFIRMED
AGUITAS,AGUITAS,9,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
HARMONY BROOK,HARMONY BROOK,16,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SONRISA,SONRISA,6,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
E-PURA BEBE,E-PURA BEBE,12,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
MISTER Q,MISTER Q,15,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BONAFONT,BONAFONT,314,CSTM_310589,NIELSEN_WATER_RT,BONAFONT,DANONE,CONFIRMED
VALLE FRUT,VALLE FRUT,113,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
PREMIER,PREMIER,32,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
BE LIGHT,BE LIGHT,33,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
ELECTROPURA,ELECTROPURA,19,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
OYE,OYE,9,CSTM_310589,NIELSEN_WATER_RT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
