raw_variant,brand_original,source_system,source_column,coverage_status,promoted,marca_std,grain_count,action
BONAFINA,BONAFINA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,49,ACTION_REQUIRED
BONDELI,BONDELI,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,10,ACTION_REQUIRED
BONTA,BONTA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
BONTA DIVINA,BONTA DIVINA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,18,ACTION_REQUIRED
BONYUR,BONYUR,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,26,ACTION_REQUIRED
BOVE,BOVE,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,70,ACTION_REQUIRED
BREAK,BREAK,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,32,ACTION_REQUIRED
CAMPO ALEGRE,CAMPO ALEGRE,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,37,ACTION_REQUIRED
CARACOL,CARACOL,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,24,ACTION_REQUIRED
CASA BLANCA,CASA BLANCA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,10,ACTION_REQUIRED
CASA PROBIOTICOS,CASA PROBIOTICOS,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,12,ACTION_REQUIRED
CHAMYTO,CHAMYTO,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,32,ACTION_REQUIRED
CHELSY,CHELSY,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
CHEN,CHEN,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,14,ACTION_REQUIRED
CHIA MIA,CHIA MIA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,20,ACTION_REQUIRED
CHILCHOTA,CHILCHOTA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,143,ACTION_REQUIRED
CHIQUITIN,CHIQUITIN,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,53,ACTION_REQUIRED
CHOBANI,CHOBANI,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,345,ACTION_REQUIRED
CHOIX,CHOIX,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
CLUB,CLUB,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,42,ACTION_REQUIRED
CREMERIA CHALCO,CREMERIA CHALCO,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
CREMOSO ALPURA,CREMOSO ALPURA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
CUADRITOS,CUADRITOS,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,34,ACTION_REQUIRED
D'GARI,D'GARI,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,39,ACTION_REQUIRED
DALUH,DALUH,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,36,ACTION_REQUIRED
DE LA ABUELA,DE LA ABUELA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,25,ACTION_REQUIRED
DELIGHURT,DELIGHURT,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,34,ACTION_REQUIRED
DELIRIO NATURAL,DELIRIO NATURAL,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,16,ACTION_REQUIRED
DIVERTIGELL,DIVERTIGELL,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,10,ACTION_REQUIRED
DOLCE FLAN,DOLCE FLAN,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,10,ACTION_REQUIRED
DONA PINTA,DONA PINTA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,14,ACTION_REQUIRED
DULAIT,DULAIT,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
DULCES SOLIS,DULCES SOLIS,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,10,ACTION_REQUIRED
EHRMANN,EHRMANN,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,20,ACTION_REQUIRED
EL ACICATE,EL ACICATE,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,25,ACTION_REQUIRED
EL CIRUELO,EL CIRUELO,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
EL PINAR,EL PINAR,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
EL SABINO,EL SABINO,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,25,ACTION_REQUIRED
ELI,ELI,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
ESTI,ESTI,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,19,ACTION_REQUIRED
FAGE,FAGE,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,117,ACTION_REQUIRED
FLANBY,FLANBY,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
FLANDY,FLANDY,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,15,ACTION_REQUIRED
FLIPPER,FLIPPER,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,31,ACTION_REQUIRED
FLOR DE ALFALFA,FLOR DE ALFALFA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,75,ACTION_REQUIRED
FLORENTINA,FLORENTINA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,24,ACTION_REQUIRED
FORAGER,FORAGER,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,62,ACTION_REQUIRED
FORTI,FORTI,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,12,ACTION_REQUIRED
FRUGGIS,FRUGGIS,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,19,ACTION_REQUIRED
FRUTTISIMA,FRUTTISIMA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,24,ACTION_REQUIRED
GASTRO PROTECT,GASTRO PROTECT,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,43,ACTION_REQUIRED
GELATIX,GELATIX,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,11,ACTION_REQUIRED
GELY CREAM,GELY CREAM,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
GERBER,GERBER,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,16,ACTION_REQUIRED
GLAD,GLAD,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
GOTA BLANCA,GOTA BLANCA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,24,ACTION_REQUIRED
GRANDMA S,GRANDMA S,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,10,ACTION_REQUIRED
GRANJA,GRANJA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,14,ACTION_REQUIRED
GREEN FEELING,GREEN FEELING,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,14,ACTION_REQUIRED
GRIEGO,GRIEGO,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,17,ACTION_REQUIRED
HUNT'S,HUNT'S,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
