marca_std,raw_variant,brand_original,source_system,source_column,brand_owner,promoted,coverage_status,grain_count,catalog_built_date
BONAFONT TE,BONAFONT TÉ,BONAFONT TÉ,IBP,MARCA,DANONE,YES,CONFIRMED,144,2026-06-29
BONAFONT TE,BONAFONT_TE,BONAFONT_TE,MKT_OFF,MARCA,DANONE,YES,CONFIRMED,860,2026-06-29
BONAFONT TE,BONAFONT_TE,BONAFONT_TE,MKT_ON,MARCA,DANONE,YES,CONFIRMED,127,2026-06-29
BONAFONT TE,BONAFONT TE,BONAFONT TE,MKT_ON,MARCA,DANONE,YES,CONFIRMED,5,2026-06-29
BONAFONT TE,TÉ BONAFONT,TÉ BONAFONT,SELL_IN,LV2_UMB_BRD_DSC,DANONE,YES,CONFIRMED,7,2026-06-29
BONAFONT TE,TE BONAFONT,TE BONAFONT,SELL_OUT,BRAND,DANONE,YES,CONFIRMED,3,2026-06-29
CIEL,CIEL_MINERAL,CIEL_MINERAL,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,1055,2026-06-29
CIEL,CIEL_EXPRIM,CIEL_EXPRIM,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,24,2026-06-29
CIEL,CIEL,CIEL,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,2178,2026-06-29
CIEL,CIEL,CIEL,NIELSEN_WATER_RT,CSTM_310589,COMPETITOR,YES,CONFIRMED,174,2026-06-29
CIEL,CIEL,CIEL,NIELSEN_WATER_ST,CSTM_310589,COMPETITOR,YES,CONFIRMED,347,2026-06-29
CIEL,CIEL,Ciel,SELL_IN,LV2_UMB_BRD_DSC,COMPETITOR,YES,CONFIRMED,1,2026-06-29
COCA COLA,COCACOLA,COCACOLA,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,18332,2026-06-29
DANETTE,DANETTE,DANETTE,IBP,MARCA,DANONE,YES,CONFIRMED,54768,2026-06-29
DANETTE,DANETTE,DANETTE,MKT_OFF,MARCA,DANONE,YES,CONFIRMED,2928,2026-06-29
DANETTE,DANETTE,DANETTE,MKT_ON,MARCA,DANONE,YES,CONFIRMED,455,2026-06-29
DANETTE,DANETTE,DANETTE,NIELSEN_EDP,INP_56985,DANONE,YES,CONFIRMED,171,2026-06-29
DANETTE,DANETTE,DANETTE,SELL_IN,LV2_UMB_BRD_DSC,DANONE,YES,CONFIRMED,96,2026-06-29
DANETTE,DANETTE,DANETTE,SELL_OUT,BRAND,DANONE,YES,CONFIRMED,60,2026-06-29
DANETTE,DANETTE,DANETTE,WASTE,MARCA,DANONE,YES,CONFIRMED,549172,2026-06-29
DANISSIMO,DANISSIMO,DANISSIMO,WASTE,MARCA,DANONE,YES,CONFIRMED,89,2026-06-29
DANMIX,DAN MIX,DAN MIX,IBP,MARCA,DANONE,YES,CONFIRMED,18792,2026-06-29
DANMIX,DANMIX,DANMIX,MKT_ON,MARCA,DANONE,YES,CONFIRMED,29,2026-06-29
DANMIX,DAN MIX,DAN MIX,NIELSEN_EDP,INP_56985,DANONE,YES,CONFIRMED,48,2026-06-29
DANMIX,DANMIX,DANMIX,SELL_IN,LV2_UMB_BRD_DSC,DANONE,YES,CONFIRMED,30,2026-06-29
DANMIX,DANMIX,DANMIX,SELL_OUT,BRAND,DANONE,YES,CONFIRMED,17,2026-06-29
DANMIX,DANMIX,DANMIX,WASTE,MARCA,DANONE,YES,CONFIRMED,142933,2026-06-29
DANMIX,DANMMIX,DANMMIX,WASTE,MARCA,DANONE,YES,CONFIRMED,543,2026-06-29
DANONE,DANONE GRIEGO,DANONE GRIEGO,IBP,MARCA,DANONE,YES,CONFIRMED,35016,2026-06-29
DANONE,DANONE FREE,DANONE FREE,IBP,MARCA,DANONE,YES,CONFIRMED,3552,2026-06-29
DANONE,DANONE,DANONE,IBP,MARCA,DANONE,YES,CONFIRMED,200136,2026-06-29
DANONE,DANONE,DANONE,MKT_OFF,MARCA,DANONE,YES,CONFIRMED,41018,2026-06-29
DANONE,DANONE GRIEGO,DANONE GRIEGO,MKT_ON,MARCA,DANONE,YES,CONFIRMED,30,2026-06-29
DANONE,DANONE,DANONE,MKT_ON,MARCA,DANONE,YES,CONFIRMED,13183,2026-06-29
DANONE,DANONE,DANONE,NIELSEN_EDP,INP_56985,DANONE,YES,CONFIRMED,682,2026-06-29
