MRKT_DSC_SHRT,NIELSEN_SOURCE_TABLE,REVIEW_STATUS,AGG_LEVEL,CANAL_LVL1,CANAL_LVL2,REGION_TYPE,REGION_STD,REGION_DETAIL,canal_std,region_std
TDC + Farmacias Cad + Hard Discounters Total Mexico,EDP_NIELSEN,CONFIRMED,TOTAL,MODERNO,TDC_FARMACIAS_HARD_DISCOUNTERS,NATIONAL,TOTAL_MEXICO,,TDC_FARMACIAS_HARD_DISCOUNTERS,TOTAL_MEXICO
Total Guadalajara_MT,WATER_NIELSEN_RIE,CONFIRMED,TOTAL,TOTAL_MERCADO,TOTAL_MERCADO,CITY,GUADALAJARA,,TOTAL_MERCADO,GUADALAJARA
Total _Area 2.1 Continental,EDP_NIELSEN,CONFIRMED,TOTAL,TOTAL_MERCADO,TOTAL_MERCADO,AREA,AREA_2,AREA_2_1_CONTINENTAL,TOTAL_MERCADO,AREA_2
Canal Moderno Area 4,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,MODERNO_TOTAL,AREA,AREA_4,,MODERNO_TOTAL,AREA_4
Total _Mexico,EDP_NIELSEN,CONFIRMED,TOTAL,TOTAL_MERCADO,TOTAL_MERCADO,NATIONAL,TOTAL_MEXICO,,TOTAL_MERCADO,TOTAL_MEXICO
TRADICIONAL PUEBLA,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,CITY,PUEBLA,,TRADICIONAL,PUEBLA
Autoservicios Scanning Aguascalientes,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,AGUASCALIENTES,,AUTOSERVICIO_SCANNING,AGUASCALIENTES
Autoservicios Scanning Cd. del Carmen,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,CD DEL CARMEN,,AUTOSERVICIO_SCANNING,CD DEL CARMEN
Autoservicios Surtido Completo Area 5_MT,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SURTIDO_COMPLETO,AREA,AREA_5,,AUTOSERVICIO_SURTIDO_COMPLETO,AREA_5
C. Moderno Area 2_MT,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,MODERNO,MODERNO_TOTAL,AREA,AREA_2,,MODERNO_TOTAL,AREA_2
Total _Monterrey,EDP_NIELSEN,CONFIRMED,TOTAL,TOTAL_MERCADO,TOTAL_MERCADO,CITY,MONTERREY,,TOTAL_MERCADO,MONTERREY
Autos Scanning Area 5,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,AREA,AREA_5,,AUTOSERVICIO_SCANNING,AREA_5
Total Autos Hermosillo,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,HERMOSILLO,,AUTOSERVICIO,HERMOSILLO
Autoservicios Scanning Coatzacoalcos,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,COATZACOALCOS,,AUTOSERVICIO_SCANNING,COATZACOALCOS
Autoservicios Scanning Puerto Vallarta,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,PUERTO VALLARTA,,AUTOSERVICIO_SCANNING,PUERTO VALLARTA
Autoservicios Scanning San Andres Tuxtla,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,SAN ANDRES TUXTLA,,AUTOSERVICIO_SCANNING,SAN ANDRES TUXTLA
TRADICIONAL MERIDA.,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,CITY,MERIDA,,TRADICIONAL,MERIDA
Total Autos Ensenada,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,ENSENADA,,AUTOSERVICIO,ENSENADA
Canal Tradicional _Guadalajara Zona 2,EDP_NIELSEN,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,CITY,GUADALAJARA ZONA 2,,TRADICIONAL,GUADALAJARA ZONA 2
C. Moderno T. Mexico_MT,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,MODERNO,MODERNO_TOTAL,CITY,T MEXICO,,MODERNO_TOTAL,T MEXICO
Total Autos Acapulco,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,ACAPULCO,,AUTOSERVICIO,ACAPULCO
Total Autos Guadalajara,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,GUADALAJARA,,AUTOSERVICIO,GUADALAJARA
Canal Moderno Area 6.2 Sur,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,MODERNO_TOTAL,AREA,AREA_6,AREA_6_2_SUR,MODERNO_TOTAL,AREA_6
Canal Tradicional _Villahermosa,EDP_NIELSEN,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,CITY,VILLAHERMOSA,,TRADICIONAL,VILLAHERMOSA
Total Autos San Andres Tuxtla_MT,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,SAN ANDRES TUXTLA,,AUTOSERVICIO,SAN ANDRES TUXTLA
Autoservicios Jalapa,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,JALAPA,,AUTOSERVICIO,JALAPA
Total Autos Campeche,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,CAMPECHE,,AUTOSERVICIO,CAMPECHE
Autos Scanning Total Mexico,EDP_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO_SCANNING,NATIONAL,TOTAL_MEXICO,,AUTOSERVICIO_SCANNING,TOTAL_MEXICO
Autoservicios Coatzacoalcos,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,COATZACOALCOS,,AUTOSERVICIO,COATZACOALCOS
Autoservicios Scanning Nuevo Laredo,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,NUEVO LAREDO,,AUTOSERVICIO_SCANNING,NUEVO LAREDO
Autoservicios Tampico,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,TAMPICO,,AUTOSERVICIO,TAMPICO
Canal Tradicional _Area 3,EDP_NIELSEN,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,AREA,AREA_3,,TRADICIONAL,AREA_3
Canal Tradicional _Vdm Zona 1,EDP_NIELSEN,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,VDM,VDM,VDM_ZONA_1,TRADICIONAL,VDM
Total Autos Cd. Obregon,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,CD OBREGON,,AUTOSERVICIO,CD OBREGON
Total Autos Cd. Valles_MT,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,CD VALLES,,AUTOSERVICIO,CD VALLES
Autoservicios Villahermosa,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,VILLAHERMOSA,,AUTOSERVICIO,VILLAHERMOSA
Total Autos Cd. Del Carmen,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,CD DEL CARMEN,,AUTOSERVICIO,CD DEL CARMEN
Autoservicios Puerto Vallarta,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,PUERTO VALLARTA,,AUTOSERVICIO,PUERTO VALLARTA
Autoservicios Scanning Oaxaca,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,OAXACA,,AUTOSERVICIO_SCANNING,OAXACA
Autoservicios Surt. Esencial Total Mexico,EDP_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO_SURTIDO_ESENCIAL,NATIONAL,TOTAL_MEXICO,,AUTOSERVICIO_SURTIDO_ESENCIAL,TOTAL_MEXICO
Total Monterrey_MT,WATER_NIELSEN_RIE,CONFIRMED,TOTAL,TOTAL_MERCADO,TOTAL_MERCADO,CITY,MONTERREY,,TOTAL_MERCADO,MONTERREY
Canal Tradicional _Mexicali,EDP_NIELSEN,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,CITY,MEXICALI,,TRADICIONAL,MEXICALI
TRADICIONAL VDM ZONA IV,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,VDM,VDM,VDM_ZONA_1,TRADICIONAL,VDM
Canal Moderno Area 6,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,MODERNO_TOTAL,AREA,AREA_6,,MODERNO_TOTAL,AREA_6
TDC + Farmacias Cad + Hard Discounters Guadalajara,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,TDC_FARMACIAS_HARD_DISCOUNTERS,CITY,GUADALAJARA,,TDC_FARMACIAS_HARD_DISCOUNTERS,GUADALAJARA
Autoservicios Scanning San Luis Rio Colorado,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,SAN LUIS RIO COLORADO,,AUTOSERVICIO_SCANNING,SAN LUIS RIO COLORADO
Autoservicios Surt. Completo Area 3,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SURTIDO_COMPLETO,AREA,AREA_3,,AUTOSERVICIO_SURTIDO_COMPLETO,AREA_3
C. Proximidad Total Mexico_MT,WATER_NIELSEN_RIE,CONFIRMED,TOTAL,MODERNO,PROXIMIDAD,NATIONAL,TOTAL_MEXICO,,PROXIMIDAD,TOTAL_MEXICO
TRADICIONAL LEON,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,CITY,LEON,,TRADICIONAL,LEON
TRADICIONAL QUERETARO,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,CITY,QUERETARO,,TRADICIONAL,QUERETARO
Autoservicios Cancun,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,CANCUN,,AUTOSERVICIO,CANCUN
Autoservicios Cozumel,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,COZUMEL,,AUTOSERVICIO,COZUMEL
Autoservicios Scanning Cancun,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,CANCUN,,AUTOSERVICIO_SCANNING,CANCUN
Autoservicios Surt. Extendido Area 5,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SURTIDO_EXTENDIDO,AREA,AREA_5,,AUTOSERVICIO_SURTIDO_EXTENDIDO,AREA_5
Total Autos Area 4,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_4,,AUTOSERVICIO,AREA_4
Total Autos Nuevo Laredo,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,NUEVO LAREDO,,AUTOSERVICIO,NUEVO LAREDO
Total Autos Cd. Cuauhtemoc_MT,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,CD CUAUHTEMOC,,AUTOSERVICIO,CD CUAUHTEMOC
Autoservicios Chihuahua,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,CHIHUAHUA,,AUTOSERVICIO,CHIHUAHUA
Autoservicios Monclova,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,MONCLOVA,,AUTOSERVICIO,MONCLOVA
C. Moderno Area 4_MT,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,MODERNO,MODERNO_TOTAL,AREA,AREA_4,,MODERNO_TOTAL,AREA_4
TRADICIONAL AREA V,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,AREA,AREA_5,,TRADICIONAL,AREA_5
Autoservicios Scanning Hermosillo,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,HERMOSILLO,,AUTOSERVICIO_SCANNING,HERMOSILLO
Autoservicios Toluca,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,TOLUCA,,AUTOSERVICIO,TOLUCA
Total Autos San Luis Potosi,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,SAN LUIS POTOSI,,AUTOSERVICIO,SAN LUIS POTOSI
Autoservicios Surtido Completo Area 1_MT,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SURTIDO_COMPLETO,AREA,AREA_1,,AUTOSERVICIO_SURTIDO_COMPLETO,AREA_1
Autoservicios Tuxtla Gutierrez,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,TUXTLA GUTIERREZ,,AUTOSERVICIO,TUXTLA GUTIERREZ
C. Moderno Area 6_MT,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,MODERNO,MODERNO_TOTAL,AREA,AREA_6,,MODERNO_TOTAL,AREA_6
TOTAL AUTOS AREA 3 - AREA 6,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_3_6,,AUTOSERVICIO,AREA_3_6
Total Autos Mexicali,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,MEXICALI,,AUTOSERVICIO,MEXICALI
Tradicionales Grandes Y Minisupers _Total Mexico,EDP_NIELSEN,CONFIRMED,TOTAL,TRADICIONAL,TRADICIONAL_GRANDES_MINISUPERS,NATIONAL,TOTAL_MEXICO,,TRADICIONAL_GRANDES_MINISUPERS,TOTAL_MEXICO
Total Autos VDM,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,VDM,VDM,,AUTOSERVICIO,VDM
Canal Moderno Total Mexico,EDP_NIELSEN,CONFIRMED,TOTAL,MODERNO,MODERNO_TOTAL,NATIONAL,TOTAL_MEXICO,,MODERNO_TOTAL,TOTAL_MEXICO
Autoservicios Los Cabos,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,LOS CABOS,,AUTOSERVICIO,LOS CABOS
Autoservicios Scanning Playa del Carmen,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,PLAYA DEL CARMEN,,AUTOSERVICIO_SCANNING,PLAYA DEL CARMEN
Total Autos Morelia,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,MORELIA,,AUTOSERVICIO,MORELIA
TDC + Farmacias Cad + Hard Discounters Monterrey,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,TDC_FARMACIAS_HARD_DISCOUNTERS,CITY,MONTERREY,,TDC_FARMACIAS_HARD_DISCOUNTERS,MONTERREY
Autos Scanning Areas 1 + 2,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO_SCANNING,AREA,AREA_1_2,,AUTOSERVICIO_SCANNING,AREA_1_2
Autoservicios Surtido Extendido Area 6_MT,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SURTIDO_EXTENDIDO,AREA,AREA_6,,AUTOSERVICIO_SURTIDO_EXTENDIDO,AREA_6
Total _Area 2.2 Golfo,EDP_NIELSEN,CONFIRMED,TOTAL,TOTAL_MERCADO,TOTAL_MERCADO,AREA,AREA_2,AREA_2_2_GOLFO,TOTAL_MERCADO,AREA_2
Autoservicios Campeche,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,CAMPECHE,,AUTOSERVICIO,CAMPECHE
Autoservicios Matamoros,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,MATAMOROS,,AUTOSERVICIO,MATAMOROS
Total _Guadalajara,EDP_NIELSEN,CONFIRMED,TOTAL,TOTAL_MERCADO,TOTAL_MERCADO,CITY,GUADALAJARA,,TOTAL_MERCADO,GUADALAJARA
Autoservicios Surtido Extendido Area 4_MT,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SURTIDO_EXTENDIDO,AREA,AREA_4,,AUTOSERVICIO_SURTIDO_EXTENDIDO,AREA_4
Autoservicios Surt. Esencial Area 1,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_1,,AUTOSERVICIO,AREA_1
Autoservicios Surt. Completo Area 3,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_3,,AUTOSERVICIO,AREA_3
Autos Scanning Area 4,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO_SCANNING,AREA,AREA_4,,AUTOSERVICIO_SCANNING,AREA_4
Autoservicios Surt. Esencial Area 5,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_5,,AUTOSERVICIO,AREA_5
Autoservicios Surt. Esencial Area 2,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_2,,AUTOSERVICIO,AREA_2
Autoservicios Surt. Completo Area 5,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_5,,AUTOSERVICIO,AREA_5
Autoservicios Surt. Extendido Area 5,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_5,,AUTOSERVICIO,AREA_5
Autoservicios Surt. Extendido Area 2,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_2,,AUTOSERVICIO,AREA_2
Autoservicios Surt. Esencial Area 3,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_3,,AUTOSERVICIO,AREA_3
Autoservicios Surt. Completo Area 1,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_1,,AUTOSERVICIO,AREA_1
Autoservicios Surt. Completo Area 4,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_4,,AUTOSERVICIO,AREA_4
Autoservicios Surt. Esencial Total Mexico,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,TOTAL_MEXICO,TOTAL_MEXICO,,AUTOSERVICIO,TOTAL_MEXICO
Autos Scanning Area 2,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO_SCANNING,AREA,AREA_2,,AUTOSERVICIO_SCANNING,AREA_2
Autos Scanning Area 6,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO_SCANNING,AREA,AREA_6,,AUTOSERVICIO_SCANNING,AREA_6
Autoservicios Surt. Extendido Area 6,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_6,,AUTOSERVICIO,AREA_6
Autoservicios Surt. Extendido Area 1,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_1,,AUTOSERVICIO,AREA_1
Autoservicios Surt. Extendido Area 4,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_4,,AUTOSERVICIO,AREA_4
Autos Scanning Area 3,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO_SCANNING,AREA,AREA_3,,AUTOSERVICIO_SCANNING,AREA_3
Autoservicios Scanning Tijuana,PB_NIELSEN,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,TIJUANA,,AUTOSERVICIO_SCANNING,TIJUANA
Autoservicios Surt. Completo Area 2,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_2,,AUTOSERVICIO,AREA_2
Autoservicios Surt. Extendido Total Mexico,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,TOTAL_MEXICO,TOTAL_MEXICO,,AUTOSERVICIO,TOTAL_MEXICO
Autos Scanning Total Mexico,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO_SCANNING,TOTAL_MEXICO,TOTAL_MEXICO,,AUTOSERVICIO_SCANNING,TOTAL_MEXICO
Autos Scanning Area 1,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO_SCANNING,AREA,AREA_1,,AUTOSERVICIO_SCANNING,AREA_1
Autoservicios Surt. Completo Area 6,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_6,,AUTOSERVICIO,AREA_6
Autoservicios Surt. Completo Total Mexico,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,TOTAL_MEXICO,TOTAL_MEXICO,,AUTOSERVICIO,TOTAL_MEXICO
Autoservicios Surt. Esencial Area 4,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_4,,AUTOSERVICIO,AREA_4
Autoservicios Surt. Extendido Area 3,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_3,,AUTOSERVICIO,AREA_3
Autos Scanning Area 5,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO_SCANNING,AREA,AREA_5,,AUTOSERVICIO_SCANNING,AREA_5
Autoservicios Surt. Esencial Area 6,PB_NIELSEN,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_6,,AUTOSERVICIO,AREA_6
Autoservicios Scanning Ensenada,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,ENSENADA,ENSENADA,AUTOSERVICIO_SCANNING,ENSENADA
Autos Scanning Area 4,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO_SCANNING,AREA,AREA_4,AREA_4,AUTOSERVICIO_SCANNING,AREA_4
Autos Scanning Areas 3 + 4 + 5 +6,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO_SCANNING,AREA,AREA_3_6,AREA_3_6,AUTOSERVICIO_SCANNING,AREA_3_6
Autoservicios Surt. Extendido Area 5,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_5,AREA_5,AUTOSERVICIO,AREA_5
Autoservicios Scanning Minatitlan,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,MINATITLAN,MINATITLAN,AUTOSERVICIO_SCANNING,MINATITLAN
Autoservicios Surt. Extendido Area 3,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_3,AREA_3,AUTOSERVICIO,AREA_3
Autoservicios Surt. Completo Area 5,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_5,AREA_5,AUTOSERVICIO,AREA_5
Autoservicios Scanning Leon,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,LEON,LEON,AUTOSERVICIO_SCANNING,LEON
Autoservicios Surt. Extendido Area 6,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_6,AREA_6,AUTOSERVICIO,AREA_6
Autoservicios Scanning Aguascalientes,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,AGUASCALIENTES,AGUASCALIENTES,AUTOSERVICIO_SCANNING,AGUASCALIENTES
Autoservicios Scanning Acapulco,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,ACAPULCO,ACAPULCO,AUTOSERVICIO_SCANNING,ACAPULCO
Autoservicios Scanning Veracruz,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,VERACRUZ,VERACRUZ,AUTOSERVICIO_SCANNING,VERACRUZ
Autoservicios Scanning Cozumel,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,COZUMEL,COZUMEL,AUTOSERVICIO_SCANNING,COZUMEL
Autoservicios Scanning Orizaba,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,ORIZABA,ORIZABA,AUTOSERVICIO_SCANNING,ORIZABA
Autoservicios Scanning Merida,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,MERIDA,MERIDA,AUTOSERVICIO_SCANNING,MERIDA
Autoservicios Scanning La Paz,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,LA PAZ,LA PAZ,AUTOSERVICIO_SCANNING,LA PAZ
Autoservicios Scanning Tijuana,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,TIJUANA,TIJUANA,AUTOSERVICIO_SCANNING,TIJUANA
Autoservicios Scanning Queretaro,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,QUERETARO,QUERETARO,AUTOSERVICIO_SCANNING,QUERETARO
Autoservicios Scanning Poza Rica,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,POZA RICA,POZA RICA,AUTOSERVICIO_SCANNING,POZA RICA
Autos Scanning Area 1,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO_SCANNING,AREA,AREA_1,AREA_1,AUTOSERVICIO_SCANNING,AREA_1
Autoservicios Surt. Esencial Total Mexico,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,TOTAL_MEXICO,TOTAL_MEXICO,TOTAL_MEXICO,AUTOSERVICIO,TOTAL_MEXICO
Total Autos Baja California_MT,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,CITY,BAJA CALIFORNIA,BAJA CALIFORNIA,AUTOSERVICIO,BAJA CALIFORNIA
Autoservicios Scanning Piedras Negras,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,PIEDRAS NEGRAS,PIEDRAS NEGRAS,AUTOSERVICIO_SCANNING,PIEDRAS NEGRAS
Autoservicios Scanning Mexicali,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,MEXICALI,MEXICALI,AUTOSERVICIO_SCANNING,MEXICALI
Autoservicios Surt. Completo Area 4,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_4,AREA_4,AUTOSERVICIO,AREA_4
Autoservicios Surt. Completo Area 1,WATER_NIELSEN_ST,APPROVED,TOTAL,MODERNO,AUTOSERVICIO,AREA,AREA_1,AREA_1,AUTOSERVICIO,AREA_1
Autoservicios Scanning Mazatlan,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,MAZATLAN,MAZATLAN,AUTOSERVICIO_SCANNING,MAZATLAN
Autoservicios Scanning Villahermosa,WATER_NIELSEN_ST,APPROVED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,VILLAHERMOSA,VILLAHERMOSA,AUTOSERVICIO_SCANNING,VILLAHERMOSA
