MRKT_DSC_SHRT,NIELSEN_SOURCE_TABLE,REVIEW_STATUS,AGG_LEVEL,CANAL_LVL1,CANAL_LVL2,REGION_TYPE,REGION_STD,REGION_DETAIL,canal_std,region_std
Autoservicios Mayoristas Monterrey,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIOS_MAYORISTAS,CITY,MONTERREY,,AUTOSERVICIOS_MAYORISTAS,MONTERREY
Canal Tradicional _Leon,EDP_NIELSEN,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,CITY,LEON,,TRADICIONAL,LEON
C. Proximidad Area 5_MT,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,MODERNO,PROXIMIDAD,AREA,AREA_5,,PROXIMIDAD,AREA_5
TDC + Farmacias Cad + Hard Discounters Area 4,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,TDC_FARMACIAS_HARD_DISCOUNTERS,AREA,AREA_4,,TDC_FARMACIAS_HARD_DISCOUNTERS,AREA_4
Autoservicios Mazatlan,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,MAZATLAN,,AUTOSERVICIO,MAZATLAN
Autoservicios Mexicali,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,MEXICALI,,AUTOSERVICIO,MEXICALI
Total _Area 6.1 Peninsula,EDP_NIELSEN,CONFIRMED,TOTAL,TOTAL_MERCADO,TOTAL_MERCADO,AREA,AREA_6,AREA_6_1_PENINSULA,TOTAL_MERCADO,AREA_6
Autoservicios Scanning Saltillo,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,SALTILLO,,AUTOSERVICIO_SCANNING,SALTILLO
Canal Tradicional _Puebla,EDP_NIELSEN,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,CITY,PUEBLA,,TRADICIONAL,PUEBLA
Total Area I_MT,WATER_NIELSEN_RIE,CONFIRMED,TOTAL,TOTAL_MERCADO,TOTAL_MERCADO,AREA,AREA_1,,TOTAL_MERCADO,AREA_1
