source_system,raw_variant,brand_original,row_count
NIELSEN_EDP,LA LECHERA,LA LECHERA,1
NIELSEN_EDP,LA NENA,LA NENA,2
NIELSEN_EDP,LA PASTORA,LA PASTORA,7
NIELSEN_EDP,LA PILARICA,LA PILARICA,7
NIELSEN_EDP,LA PRIMAVERA,LA PRIMAVERA,19
NIELSEN_EDP,LA QUESERA DE SALAMANCA,LA QUESERA DE SALAMANCA,1
NIELSEN_EDP,LA TIA SARA,LA TIA SARA,13
NIELSEN_EDP,LACTEOS MOJICA,LACTEOS MOJICA,3
NIELSEN_EDP,LACTIGURT,LACTIGURT,13
NIELSEN_EDP,LAKEVIEW,LAKEVIEW,1
NIELSEN_EDP,LALA CULT,LALA CULT,7
NIELSEN_EDP,LALA SEMILLAS,LALA SEMILLAS,9
NIELSEN_EDP,LAS MORAS,LAS MORAS,3
NIELSEN_EDP,LEOLI,LEOLI,7
NIELSEN_EDP,LEON,LEON,12
NIELSEN_EDP,LEVIA,LEVIA,28
NIELSEN_EDP,LICUADO NESTLE,LICUADO NESTLE,22
NIELSEN_EDP,LIFEWAY,LIFEWAY,22
NIELSEN_EDP,LIZETH,LIZETH,6
NIELSEN_EDP,LONCH EXPRESS,LONCH EXPRESS,1
NIELSEN_EDP,LOS 19 HERMANOS,LOS 19 HERMANOS,33
NIELSEN_EDP,LOS AZAHARES,LOS AZAHARES,1
NIELSEN_EDP,LOS CUATES,LOS CUATES,8
NIELSEN_EDP,LUCERNA,LUCERNA,11
NIELSEN_EDP,LUMA,LUMA,2
NIELSEN_EDP,LYNCOTT,LYNCOTT,8
NIELSEN_EDP,MARSELLA,MARSELLA,3
NIELSEN_EDP,MARUSIA,MARUSIA,39
NIELSEN_EDP,MUUU,MUUU,1
NIELSEN_EDP,NATURLI,NATURLI,3
NIELSEN_EDP,NATURLICH,NATURLICH,1
NIELSEN_EDP,NESQUIK,NESQUIK,1
NIELSEN_EDP,NESTLE,NESTLE,18
NIELSEN_EDP,NIDO PETIT SUISSE,NIDO PETIT SUISSE,1
NIELSEN_EDP,NUTRI VAKITA,NUTRI VAKITA,6
NIELSEN_EDP,NUTRI YOGHURT,NUTRI YOGHURT,49
NIELSEN_EDP,ONEI,ONEI,10
NIELSEN_EDP,PALMALAC,PALMALAC,1
NIELSEN_EDP,PASCUAL,PASCUAL,1
NIELSEN_EDP,PETIZOO,PETIZOO,15
NIELSEN_EDP,PINK,PINK,1
NIELSEN_EDP,PL,PL,1
NIELSEN_EDP,POSTRES GOLDI,POSTRES GOLDI,1
NIELSEN_EDP,PROBIOTIC SOUL,PROBIOTIC SOUL,3
NIELSEN_EDP,PRODUCTOS CHOYS,PRODUCTOS CHOYS,1
NIELSEN_EDP,PRODUCTOS ROSITA,PRODUCTOS ROSITA,3
NIELSEN_EDP,PROLEUKIN,PROLEUKIN,3
NIELSEN_EDP,PUREZA VITAL,PUREZA VITAL,1
NIELSEN_EDP,QUALITA FOODS,QUALITA FOODS,1
NIELSEN_EDP,QUERETARO,QUERETARO,10
NIELSEN_EDP,REINA,REINA,3
NIELSEN_EDP,ROLY,ROLY,21
NIELSEN_EDP,ROSITA,ROSITA,1
NIELSEN_EDP,SABALITO,SABALITO,1
NIELSEN_EDP,SABINO,SABINO,7
NIELSEN_EDP,SABOR DEL HOGAR,SABOR DEL HOGAR,1
NIELSEN_EDP,SALVA,SALVA,3
NIELSEN_EDP,SAN JUAN,SAN JUAN,8
NIELSEN_EDP,SAN MARCOS,SAN MARCOS,10
NIELSEN_EDP,SANTE,SANTE,3
NIELSEN_EDP,SELLO ROJO,SELLO ROJO,38
NIELSEN_EDP,SENOR RICO,SENOR RICO,3
NIELSEN_EDP,SIERRA VERDE,SIERRA VERDE,1
NIELSEN_EDP,SILUETTE,SILUETTE,2
NIELSEN_EDP,SIN MARCA,SIN MARCA,3
NIELSEN_EDP,SLAVIANI,SLAVIANI,1
NIELSEN_EDP,SNACKPACK,SNACKPACK,3
NIELSEN_EDP,SOFUL,SOFUL,28
NIELSEN_EDP,SOL DE MONTERREY,SOL DE MONTERREY,1
NIELSEN_EDP,SORIANO,SORIANO,1
NIELSEN_EDP,SVELTY,SVELTY,14
NIELSEN_EDP,TEMAZCAL,TEMAZCAL,11
NIELSEN_EDP,TIA VICKY,TIA VICKY,6
NIELSEN_EDP,TIKITO,TIKITO,5
NIELSEN_EDP,TROPI LEON,TROPI LEON,1
NIELSEN_EDP,TUBAZO,TUBAZO,2
NIELSEN_EDP,TUBIX,TUBIX,3
NIELSEN_EDP,UNIGURT,UNIGURT,2
NIELSEN_EDP,VEGGIE,VEGGIE,3
NIELSEN_EDP,VENECIA,VENECIA,2
NIELSEN_EDP,VENTRO,VENTRO,2
NIELSEN_EDP,VIDAPLUS,VIDAPLUS,11
NIELSEN_EDP,VILLA ALPINA,VILLA ALPINA,3
NIELSEN_EDP,VILLA DE PATOS,VILLA DE PATOS,1
NIELSEN_EDP,VILOE,VILOE,2
NIELSEN_EDP,VIRY,VIRY,1
NIELSEN_EDP,VITAGHURT,VITAGHURT,2
NIELSEN_EDP,VITAL,VITAL,3
NIELSEN_EDP,VIVE EN EQUILIBRIO,VIVE EN EQUILIBRIO,10
NIELSEN_EDP,VIVENDI,VIVENDI,3
NIELSEN_EDP,WAY FARE,WAY FARE,3
NIELSEN_EDP,WAYFARE,WAYFARE,2
NIELSEN_EDP,XCULT,XCULT,1
NIELSEN_EDP,YAKULT,YAKULT,16
NIELSEN_EDP,YAQUI,YAQUI,4
NIELSEN_EDP,YO CRUNCH,YO CRUNCH,2
NIELSEN_EDP,YOBELL,YOBELL,6
NIELSEN_EDP,YOCREME,YOCREME,2
NIELSEN_EDP,YOFRUT,YOFRUT,3
NIELSEN_EDP,YOGU,YOGU,1
NIELSEN_EDP,YOGU RICO,YOGU RICO,2
NIELSEN_EDP,YOGURT DE COCO,YOGURT DE COCO,2
NIELSEN_EDP,YOMI LALA,YOMI LALA,42
NIELSEN_EDP,YOPLI,YOPLI,14
NIELSEN_EDP,YOPLUS,YOPLUS,6
NIELSEN_EDP,YOPSI,YOPSI,3
NIELSEN_EDP,ZAHINI,ZAHINI,9
NIELSEN_EDP,ZUMAR,ZUMAR,1
NIELSEN_PB,A DE COCO,A DE COCO,10
NIELSEN_PB,ADES,ADES,47
NIELSEN_PB,AMANDIN,AMANDIN,1
NIELSEN_PB,AVELINA,AVELINA,1
NIELSEN_PB,BANANOH,BANANOH,3
NIELSEN_PB,BE CLEAR,BE CLEAR,1
NIELSEN_PB,BIRDMAN,BIRDMAN,4
NIELSEN_PB,BLUE DIAMOND,BLUE DIAMOND,22
NIELSEN_PB,BOULDER,BOULDER,2
NIELSEN_PB,CALAHUA,CALAHUA,7
NIELSEN_PB,CALIFIA FARMS,CALIFIA FARMS,24
NIELSEN_PB,CALIFORNIA SUNSHINE,CALIFORNIA SUNSHINE,2
NIELSEN_PB,CALPIS,CALPIS,1
NIELSEN_PB,CARNATION,CARNATION,5
NIELSEN_PB,CHOBANI,CHOBANI,10
NIELSEN_PB,CONDORELLI,CONDORELLI,1
NIELSEN_PB,DEL VALLE,DEL VALLE,1
NIELSEN_PB,ELMHURST,ELMHURST,13
NIELSEN_PB,ESSENTIAL WAITROSE,ESSENTIAL WAITROSE,2
NIELSEN_PB,GOOD KARMA,GOOD KARMA,2
NIELSEN_PB,GRANVITA,GRANVITA,2
NIELSEN_PB,GUD,GUD,19
NIELSEN_PB,HAPPY DAY,HAPPY DAY,2
NIELSEN_PB,HEARTBEST,HEARTBEST,9
NIELSEN_PB,HERDEZ,HERDEZ,1
NIELSEN_PB,ISOLA BIO,ISOLA BIO,5
NIELSEN_PB,LA CASA DEL JUGO,LA CASA DEL JUGO,1
NIELSEN_PB,LALA VITA,LALA VITA,16
NIELSEN_PB,LEOLI,LEOLI,2
NIELSEN_PB,MALK,MALK,2
NIELSEN_PB,MAMMA CHIA,MAMMA CHIA,2
NIELSEN_PB,MANDOR,MANDOR,2
NIELSEN_PB,MARIANI,MARIANI,3
NIELSEN_PB,MILKADAMIA,MILKADAMIA,5
NIELSEN_PB,MOOALA,MOOALA,10
NIELSEN_PB,MW POLAR,MW POLAR,1
NIELSEN_PB,N JOY BRAND,N JOY BRAND,2
NIELSEN_PB,NATUR ALL,NATUR ALL,3
NIELSEN_PB,NATURAL GOOD SHAPE,NATURAL GOOD SHAPE,1
NIELSEN_PB,NATURALS,NATURALS,1
NIELSEN_PB,NATURES HEART,NATURES HEART,43
NIELSEN_PB,NOTMILK,NOTMILK,15
NIELSEN_PB,OAT WORLD,OAT WORLD,4
NIELSEN_PB,OATLY,OATLY,7
NIELSEN_PB,OKKO SUPER FOODS,OKKO SUPER FOODS,1
NIELSEN_PB,PACIFIC,PACIFIC,14
NIELSEN_PB,PEARL,PEARL,2
NIELSEN_PB,PL,PL,1
NIELSEN_PB,PLANT,PLANT,4
NIELSEN_PB,PLANT FOLK,PLANT FOLK,4
NIELSEN_PB,PROVAMEL,PROVAMEL,1
NIELSEN_PB,PURE,PURE,1
NIELSEN_PB,REAL NATURAL,REAL NATURAL,6
NIELSEN_PB,RICE DREAM,RICE DREAM,2
NIELSEN_PB,RIPPLE,RIPPLE,7
NIELSEN_PB,ROCKVIEW,ROCKVIEW,4
NIELSEN_PB,RUDE HEALTH,RUDE HEALTH,3
NIELSEN_PB,SAN MIGUEL,SAN MIGUEL,1
NIELSEN_PB,SIN MARCA,SIN MARCA,2
NIELSEN_PB,SOLE,SOLE,3
NIELSEN_PB,SOY,SOY,5
NIELSEN_PB,SOYALAC,SOYALAC,1
NIELSEN_PB,SOYAPAC,SOYAPAC,1
NIELSEN_PB,THAI,THAI,1
NIELSEN_PB,THAI COCO,THAI COCO,4
NIELSEN_PB,THAI HERITAGE,THAI HERITAGE,2
NIELSEN_PB,THAI KITCHEN,THAI KITCHEN,1
NIELSEN_PB,TWO BEARS,TWO BEARS,4
NIELSEN_PB,UTEKI,UTEKI,1
NIELSEN_PB,VILLA DE PATOS,VILLA DE PATOS,1
NIELSEN_PB,WEST SOY,WEST SOY,1
NIELSEN_PB,WILD HARVEST,WILD HARVEST,1
NIELSEN_PB,YUMMA AVOCADO,YUMMA AVOCADO,1
NIELSEN_WATER_RT,A DE COCO,A DE COCO,6
NIELSEN_WATER_RT,ACAPULCO,ACAPULCO,3
NIELSEN_WATER_RT,ACAPULCOCO,ACAPULCOCO,5
NIELSEN_WATER_RT,AGUA AZUL,AGUA AZUL,3
NIELSEN_WATER_RT,AGUA PURA,AGUA PURA,2
NIELSEN_WATER_RT,AGUAFIEL,AGUAFIEL,20
NIELSEN_WATER_RT,AGUITAS,AGUITAS,2
NIELSEN_WATER_RT,AL DIA,AL DIA,6
NIELSEN_WATER_RT,ALPINA,ALPINA,2
NIELSEN_WATER_RT,AQUA,AQUA,7
NIELSEN_WATER_RT,AQUA PURA,AQUA PURA,4
NIELSEN_WATER_RT,AQUA VITA,AQUA VITA,1
NIELSEN_WATER_RT,ARCOIRIS,ARCOIRIS,1
NIELSEN_WATER_RT,ARIZONA,ARIZONA,17
NIELSEN_WATER_RT,ARROWHEAD,ARROWHEAD,7
NIELSEN_WATER_RT,AURORA,AURORA,6
NIELSEN_WATER_RT,AWA,AWA,6
NIELSEN_WATER_RT,BAVIEN,BAVIEN,3
NIELSEN_WATER_RT,BE LIGHT,BE LIGHT,9
NIELSEN_WATER_RT,BEBERE FRUT,BEBERE FRUT,5
NIELSEN_WATER_RT,BIG,BIG,25
NIELSEN_WATER_RT,BIG AQUA VITAL,BIG AQUA VITAL,11
NIELSEN_WATER_RT,BLANQUITA,BLANQUITA,13
NIELSEN_WATER_RT,BOING,BOING,16
NIELSEN_WATER_RT,BONAFINA,BONAFINA,29
NIELSEN_WATER_RT,BONLATTI,BONLATTI,1
NIELSEN_WATER_RT,BUONA,BUONA,3
NIELSEN_WATER_RT,CACTUS,CACTUS,8
NIELSEN_WATER_RT,CALAHUA,CALAHUA,2
NIELSEN_WATER_RT,CAPRISUN,CAPRISUN,12
NIELSEN_WATER_RT,CASCADA,CASCADA,1
NIELSEN_WATER_RT,CHAPARRITA,CHAPARRITA,4
NIELSEN_WATER_RT,CHECHI,CHECHI,4
NIELSEN_WATER_RT,CLARA,CLARA,3
NIELSEN_WATER_RT,CLIGHT,CLIGHT,1
NIELSEN_WATER_RT,COCO NIAU,COCO NIAU,2
NIELSEN_WATER_RT,COYUCA,COYUCA,3
NIELSEN_WATER_RT,CRISTAL,CRISTAL,20
NIELSEN_WATER_RT,CRYSPURA,CRYSPURA,7
NIELSEN_WATER_RT,CRYSTAL,CRYSTAL,7
NIELSEN_WATER_RT,D'SOLARES,D'SOLARES,8
NIELSEN_WATER_RT,DASANI,DASANI,2
NIELSEN_WATER_RT,DE LOS ANGELES,DE LOS ANGELES,1
NIELSEN_WATER_RT,DEL VALLE,DEL VALLE,28
NIELSEN_WATER_RT,DELAWARE PUNCH,DELAWARE PUNCH,14
NIELSEN_WATER_RT,DELICIAS,DELICIAS,1
NIELSEN_WATER_RT,E-PURA,E-PURA,26
NIELSEN_WATER_RT,E-PURA BEBE,E-PURA BEBE,2
NIELSEN_WATER_RT,E-PURITA,E-PURITA,4
NIELSEN_WATER_RT,EL MEXICANO,EL MEXICANO,2
NIELSEN_WATER_RT,ELECTROPURA,ELECTROPURA,4
NIELSEN_WATER_RT,ENERGIE,ENERGIE,2
NIELSEN_WATER_RT,FARAON,FARAON,3
NIELSEN_WATER_RT,FESTIN,FESTIN,1
NIELSEN_WATER_RT,FITLINE,FITLINE,1
NIELSEN_WATER_RT,FLORIDA 7,FLORIDA 7,5
NIELSEN_WATER_RT,FRIKO,FRIKO,1
NIELSEN_WATER_RT,FRUT,FRUT,1
NIELSEN_WATER_RT,FRUTI QUEKO,FRUTI QUEKO,8
NIELSEN_WATER_RT,FRUTIER,FRUTIER,2
NIELSEN_WATER_RT,FRUTOS DE VIDA,FRUTOS DE VIDA,3
NIELSEN_WATER_RT,FRUTSI,FRUTSI,11
NIELSEN_WATER_RT,FUENSANTA,FUENSANTA,9
NIELSEN_WATER_RT,FUZE,FUZE,1
NIELSEN_WATER_RT,GERBER,GERBER,33
NIELSEN_WATER_RT,GLACEAU,GLACEAU,5
NIELSEN_WATER_RT,GLACIAL,GLACIAL,2
NIELSEN_WATER_RT,GUD,GUD,2
NIELSEN_WATER_RT,GUGAR,GUGAR,12
NIELSEN_WATER_RT,GUGARIN,GUGARIN,2
NIELSEN_WATER_RT,GYM WATER,GYM WATER,5
NIELSEN_WATER_RT,HARMONY BROOK,HARMONY BROOK,4
NIELSEN_WATER_RT,HAWAIIAN PUNCH,HAWAIIAN PUNCH,5
NIELSEN_WATER_RT,HIDROPURA,HIDROPURA,4
NIELSEN_WATER_RT,JARRITA,JARRITA,1
NIELSEN_WATER_RT,JERSEY,JERSEY,5
NIELSEN_WATER_RT,JULIGHT,JULIGHT,1
NIELSEN_WATER_RT,JUMEX FRESH,JUMEX FRESH,11
NIELSEN_WATER_RT,JUMEX MIA,JUMEX MIA,5
NIELSEN_WATER_RT,JUNGHANNS,JUNGHANNS,3
NIELSEN_WATER_RT,KABALA,KABALA,1
NIELSEN_WATER_RT,KING FRUT,KING FRUT,3
NIELSEN_WATER_RT,KOOL-AID,KOOL-AID,7
NIELSEN_WATER_RT,LA JOLLA,LA JOLLA,4
NIELSEN_WATER_RT,LA NORIA,LA NORIA,1
NIELSEN_WATER_RT,LA PUREZA,LA PUREZA,1
NIELSEN_WATER_RT,LAS BRISAS,LAS BRISAS,4
NIELSEN_WATER_RT,LAS PUENTES,LAS PUENTES,1
NIELSEN_WATER_RT,LEON,LEON,2
NIELSEN_WATER_RT,LOS 19 HERMANOS,LOS 19 HERMANOS,18
NIELSEN_WATER_RT,LOS ALPES,LOS ALPES,2
NIELSEN_WATER_RT,LYDER,LYDER,1
NIELSEN_WATER_RT,MANANTIAL,MANANTIAL,1
NIELSEN_WATER_RT,MINUTE MAID,MINUTE MAID,10
NIELSEN_WATER_RT,MISTER Q,MISTER Q,3
NIELSEN_WATER_RT,MONDARIZ,MONDARIZ,1
NIELSEN_WATER_RT,NATURES HEART,NATURES HEART,3
NIELSEN_WATER_RT,NIAGARA,NIAGARA,6
NIELSEN_WATER_RT,NOSSO COCO,NOSSO COCO,5
NIELSEN_WATER_RT,NOVALIV,NOVALIV,12
NIELSEN_WATER_RT,OASIS,OASIS,11
NIELSEN_WATER_RT,OSO POKY,OSO POKY,4
NIELSEN_WATER_RT,OTHERS MARCA,OTHERS MARCA,809
NIELSEN_WATER_RT,OYE,OYE,2
NIELSEN_WATER_RT,PATO PASCUAL,PATO PASCUAL,2
NIELSEN_WATER_RT,PENA PURA,PENA PURA,4
NIELSEN_WATER_RT,PL,PL,4
NIELSEN_WATER_RT,POWER PUNCH,POWER PUNCH,6
NIELSEN_WATER_RT,POWERADE,POWERADE,4
NIELSEN_WATER_RT,PREMIER,PREMIER,8
NIELSEN_WATER_RT,PROPEL,PROPEL,2
NIELSEN_WATER_RT,PULPY,PULPY,2
NIELSEN_WATER_RT,PURA SOL,PURA SOL,3
NIELSEN_WATER_RT,PURE LIFE,PURE LIFE,2
NIELSEN_WATER_RT,PUREZA VITAL,PUREZA VITAL,28
NIELSEN_WATER_RT,PUREZA VITAL KIDS,PUREZA VITAL KIDS,2
NIELSEN_WATER_RT,PURISIMA,PURISIMA,3
NIELSEN_WATER_RT,ROCIO,ROCIO,3
NIELSEN_WATER_RT,SABOR X,SABOR X,3
NIELSEN_WATER_RT,SABOREX,SABOREX,1
NIELSEN_WATER_RT,SAFARI,SAFARI,5
NIELSEN_WATER_RT,SAN JUDAS TADEO,SAN JUDAS TADEO,6
NIELSEN_WATER_RT,SANTA MARIA COAHUILA,SANTA MARIA COAHUILA,4
NIELSEN_WATER_RT,SANTA MONICA,SANTA MONICA,2
NIELSEN_WATER_RT,SANTORINI,SANTORINI,8
NIELSEN_WATER_RT,SELLO ROJO,SELLO ROJO,15
NIELSEN_WATER_RT,SIERRA AZUL,SIERRA AZUL,10
NIELSEN_WATER_RT,SKARCH,SKARCH,16
NIELSEN_WATER_RT,SNAPPLE,SNAPPLE,3
NIELSEN_WATER_RT,SOLEM,SOLEM,5
NIELSEN_WATER_RT,SONRISA,SONRISA,1
NIELSEN_WATER_RT,SPARKLETTS,SPARKLETTS,5
NIELSEN_WATER_RT,STA. MARIA -NESTLE-,STA. MARIA -NESTLE-,22
NIELSEN_WATER_RT,SUN LIGHT,SUN LIGHT,2
NIELSEN_WATER_RT,SUNNY DELIGHT,SUNNY DELIGHT,5
NIELSEN_WATER_RT,SUPER STAR,SUPER STAR,5
NIELSEN_WATER_RT,TAMPICO,TAMPICO,25
NIELSEN_WATER_RT,TROPIFRUT,TROPIFRUT,8
NIELSEN_WATER_RT,VALLE FRUT,VALLE FRUT,39
NIELSEN_WATER_RT,VICTORIA,VICTORIA,7
NIELSEN_WATER_RT,VIKA 8.5,VIKA 8.5,2
NIELSEN_WATER_RT,VILLA DE PATOS,VILLA DE PATOS,2
NIELSEN_WATER_RT,VIRY,VIRY,2
NIELSEN_WATER_RT,VOSS,VOSS,6
NIELSEN_WATER_RT,WELCH'S,WELCH'S,3
NIELSEN_WATER_RT,WINKY,WINKY,4
NIELSEN_WATER_RT,XALLAPAN,XALLAPAN,3
NIELSEN_WATER_RT,YUKAI,YUKAI,2
NIELSEN_WATER_RT,ZAMBA,ZAMBA,8
NIELSEN_WATER_RT,ZOE,ZOE,11
NIELSEN_WATER_RT,ZUBBA,ZUBBA,12
NIELSEN_WATER_ST,A DE COCO,A DE COCO,8
NIELSEN_WATER_ST,ACAPULCO,ACAPULCO,2
NIELSEN_WATER_ST,ACAPULCOCO,ACAPULCOCO,10
NIELSEN_WATER_ST,AGUAFIEL,AGUAFIEL,23
NIELSEN_WATER_ST,AGUITAS,AGUITAS,30
NIELSEN_WATER_ST,AL DIA,AL DIA,7
NIELSEN_WATER_ST,ALPINA,ALPINA,2
NIELSEN_WATER_ST,AQUA,AQUA,3
NIELSEN_WATER_ST,AQUA PURA,AQUA PURA,1
NIELSEN_WATER_ST,ARIZONA,ARIZONA,35
NIELSEN_WATER_ST,ARROWHEAD,ARROWHEAD,8
NIELSEN_WATER_ST,AURORA,AURORA,2
NIELSEN_WATER_ST,AWA,AWA,7
NIELSEN_WATER_ST,BAVIEN,BAVIEN,4
