FORMATO,CADENA,SUBCADENA,CIUDAD,ESTADO,REGION,CLUSTER,STORE_COUNT
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Lerdo,Durango,NORTE,ORO,1
WM-BOD AURRERA EXPRESS,WALMART,NA,Nezahualcoyotl,Mexico,ND,ND,1
CCF-SUMESA,COMERCIAL CITY FRESKO,CF-SUMESA,Iztacalco,Distrito Federal,CENTRO,PLATA,1
SO-SUPER,SORIANA,SOR-HIPER,Hermosillo,Sonora,NORTE,BRONCE,1
CITY CLUB,CITY CLUB,NA,Monterrey,Nuevo Leon,ND,PLATA,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,La Antigua,Veracruz,SUR,ORO,1
WM-SUPER CENTER,WALMART,WM-SUPERCENTER,Bahia de Banderas,Nayarit,CENTRO,DIAMANTE,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Soledad de Graciano Sanchez,San Luis Potosi,NORTE,DIAMANTE,1
CH-SUPERCHE,TIENDAS CHEDRAUI,CH-SUPERCHE,Teapa,Tabasco,SUR,ORO,1
CCF-FRESKO,COMERCIAL CITY FRESKO,CF-FRESKO,Los Cabos,Baja California Sur,NORTE,ORO,1
SO-HIPERMERCADOS,SORIANA,SOR-HIPER,Gustavo A. Madero,Distrito Federal,CENTRO,PLATA,1
SO-CITY CLUB,SORIANA,NA,Campeche,Campeche,SUR,BRONCE,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Cuitzeo,Michoacan,CENTRO,BRONCE,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Ramal de Guanajuato,Guanajuato,SUR,BRONCE,1
SO-HIPERMERCADOS,SORIANA,SOR-HIPER,Cuautla,Morelos,SUR,ORO,1
SO-HIPERMERCADOS,SORIANA,SOR-HIPER,Benito Juarez,Quintana Roo,SUR,PLATA,1
CH-TIENDAS,TIENDAS CHEDRAUI,CH-CHEDRAUI,alvaro Obregon,Distrito Federal,CENTRO,ORO,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Los Olvera,Queretaro,SUR,BRONCE,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,NA,Baja California,NORTE,BRONCE,1
CH-SUPERCHE,TIENDAS CHEDRAUI,CH-SUPERCHE,Valladolid,Yucatan,SUR,DIAMANTE,1
CL-EXPRESS,CASALEY,CL-CASA LEY,NA,Guerrero,NORTE,BRONCE,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Armeria,Colima,CENTRO,BRONCE,1
SO-HIPERMERCADOS,SORIANA,SOR-HIPER,Nuevo Vallarta,Nayarit,CENTRO,BRONCE,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Sierra Mojada,Coahuila,NORTE,BRONCE,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Orizaba,Veracruz,SUR,ORO,1
WM-SUPER CENTER,WALMART,WM-SUPERCENTER,NA,Quintana Roo,SUR,ORO,1
JUSTO,JUSTO,NA,Zapopan,Jalisco,NA,BRONCE,1
SO-MERCADOS,SORIANA,SOR-MERCADO,Texcoco,Mexico,CENTRO,PLATA,1
WM-BOD AURRERA EXPRESS,WALMART,NA,Acapulco,Guerrero,SUR,BRONCE,1
CH-SUPERCITO,TIENDAS CHEDRAUI,NA,Chimalhuacan,Mexico,CENTRO,BRONCE,2
WM-MI BODEGA AURRERA,WALMART,,Arriaga,Chiapas,SUR,,1
WM-BODEGA AURRERA,WALMART,,Matehuala,San Luis Potosi,NORTE,,1
HEB,HEB,,Aguascalientes,Aguascalientes,NORTE,,2
WM-MI BODEGA AURRERA,WALMART,,Santa Ana,Sonora,NORTE,,1
SO-EXPRESS,SORIANA,,Coatzintla,Veracruz,SUR,,1
WM-MI BODEGA AURRERA,WALMART,,Comonfort,Guanajuato,SUR,,1
WM-BODEGA AURRERA,WALMART,,Monterrey,Nuevo Leon,NORTE,,2
WM-MI BODEGA AURRERA,WALMART,,Santiago Tuxtla,Veracruz,SUR,,1
CM-MEGA,COMERCIAL MEXICANA,,Coyoacan,Distrito Federal,NA,,1
SO-SUPER,SORIANA,SOR-SUPER,Benito Juarez,Distrito Federal,CENTRO,PLATA,1
CCF-CEDIS,COMERCIAL CITY FRESKO,CF-COMERCIAL MEXICANA,Tijuana,Baja California,NORTE,BRONCE,1
CM-COMERCIAL MEXICANA,COMERCIAL MEXICANA,SOR-MEGA,Solidaridad,Quintana Roo,ND,ND,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,NA,Michoacan,CENTRO,BRONCE,1
CH-SUPERCITO,TIENDAS CHEDRAUI,NA,Benito Juarez,Distrito Federal,CENTRO,BRONCE,1
WM-SUPER CENTER,WALMART,NA,Monclova,Coahuila,NORTE,APERTURA,1
WM-BODEGA AURRERA,WALMART,NA,Queretaro,Queretaro,ND,APERTURA,1
CH-SELECTO,TIENDAS CHEDRAUI,CH-SELECTO,Cuajimalpa de Morelos,Distrito Federal,CENTRO,DIAMANTE,1
CH-TIENDAS,TIENDAS CHEDRAUI,CH-CHEDRAUI,Acayucan,Veracruz,SUR,DIAMANTE,1
WM-MI BODEGA AURRERA,WALMART,,Felipe Carrillo Puerto,Quintana Roo,SUR,,1
WM-SUPERAMA,WALMART,,Centro,Tabasco,SUR,,1
WM-BOD AURRERA EXPRESS,WALMART,,Almoloya de Juarez,Mexico,CENTRO,,1
CH-TIENDAS,TIENDAS CHEDRAUI,,Ciudad de Cancun,Quintana Roo,SUR,,1
WM-MI BODEGA AURRERA,WALMART,,Chalchicomula de Sesma,Puebla,SUR,,1
COSTCO,COSTCO,,Tlajomulco de Zu��iga,Jalisco,CENTRO,,1
WM-MI BODEGA AURRERA,WALMART,,San Blas,Nayarit,CENTRO,,1
CM-COMERCIAL MEXICANA,COMERCIAL MEXICANA,NA,San Andres Cholula,Puebla,ND,ND,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Tecamachalco,Puebla,SUR,ORO,1
SO-HIPERMERCADOS,SORIANA,SOR-MEGA,Tlalpan,Distrito Federal,CENTRO,ORO,1
CL-EXPRESS,CASALEY,CL-EXPRESS,Empalme,Sonora,NORTE,BRONCE,1
CH-SUPERCITO,TIENDAS CHEDRAUI,CH-SUPERCITO,Boca del Rio,Veracruz,SUR,BRONCE,1
WM-BOD AURRERA EXPRESS,WALMART,NA,Iztapalapa,Distrito Federal,ND,ND,4
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Nogales,Sonora,NORTE,ORO,1
WM-SUPERAMA,WALMART,WM-WM EXPRESS,NA,Queretaro,SUR,PLATA,1
CH-SUPERCITO,TIENDAS CHEDRAUI,CH-SUPERCHE,Veracruz,Veracruz,SUR,BRONCE,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Ciudad Obregon,Sonora,NORTE,BRONCE,1
WM-MI BODEGA AURRERA,WALMART,NA,NA,Veracruz,SUR,APERTURA,1
CH-DARK STORE,TIENDAS CHEDRAUI,NA,NA,Puebla,NA,NA,1
CH-SUPERCHE,TIENDAS CHEDRAUI,CH-SUPERCHE,Gustavo A. Madero,Distrito Federal,CENTRO,BRONCE,1
WM-MEDIMART,WALMART,WM-BAE,alvaro Obregon,Distrito Federal,CENTRO,BRONCE,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,San Martin Texmelucan,Puebla,SUR,DIAMANTE,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Encarnacion de Diaz,Jalisco,NORTE,ORO,1
7E-TURISTAS,7ELEVEN,NA,NA,Nuevo Leon,NA,SIN CLUSTER,1
CITY CLUB,CITY CLUB,NA,Pachuca de Soto,Hidalgo,ND,BRONCE,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Ezequiel Montes,Queretaro,SUR,ORO,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Cd Mendoza,Veracruz,SUR,ORO,1
ZORRO,ZORRO,NA,Coacalco De Berriozabal,Mexico,NA,SIN CLUSTER,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Garza Garcia,Nuevo Leon,NORTE,BRONCE,1
CM-COMERCIAL MEXICANA,COMERCIAL MEXICANA,CF-COMERCIAL MEXICANA,Ahome,Sinaloa,NORTE,BRONCE,1
SAMS CLUB,SAMS,SAM-SAMS,Nezahualcoyotl,Mexico,CENTRO,SAMS,1
CALIMAX,CALIMAX,NA,NA,Desconocido,NORTE,BRONCE,2
SAMS CLUB,SAMS,SAM-SAMS,Manzanillo,Colima,CENTRO,SAMS,1
CH-SELECTO,TIENDAS CHEDRAUI,CH-SELECTO,Acapulco de Juarez,Guerrero,SUR,ORO,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Escarcega,Campeche,SUR,ORO,1
SAMS CLUB,SAMS,,Cuauhtemoc,Chihuahua,NORTE,,1
CH-TIENDAS,TIENDAS CHEDRAUI,,Tlalpan,Distrito Federal,CENTRO,,1
SO-MERCADOS,SORIANA,,Dolores Hidalgo Cuna de la Independencia Nacional,Guanajuato,NORTE,,1
WM-SUPER CENTER,WALMART,,Tapachula,Chiapas,SUR,,1
WM-MI BODEGA AURRERA,WALMART,,Aldama,Tamaulipas,NORTE,,1
ZORRO,ZORRO,,IZTAPALAPA,Mexico,NA,,1
SO-HIPERMERCADOS,SORIANA,,Campeche,Campeche,SUR,,1
CH-SUPERCHE,TIENDAS CHEDRAUI,,NA,Distrito Federal,CENTRO,,1
WM-MI BODEGA AURRERA,WALMART,,Zaragoza,Puebla,0,,1
WM-MI BODEGA AURRERA,WALMART,,Talpa de Allende,Hidalgo,SUR,,1
WM-CEDIS,WALMART,,El Salto,Jalisco,CENTRO,,1
CM-COMERCIAL MEXICANA,COMERCIAL MEXICANA,,Toluca,Mexico,NA,,1
CH-TIENDAS,TIENDAS CHEDRAUI,,Cuauhtemoc,Distrito Federal,CENTRO,,1
CH-SUPERCHE,TIENDAS CHEDRAUI,,Huixtla,Chiapas,SUR,,1
ZORRO,ZORRO,,Ecatepec de Morelos,Mexico,NA,,1
WM-SUPER CENTER,WALMART,,Pachuca,Hidalgo,SUR,,1
WM-MI BODEGA AURRERA,WALMART,,Tequisquiapan,Queretaro,SUR,,1
SAMS-CEDIS,SAMS,,NA,Jalisco,ND,,1
CH-CEDIS,TIENDAS CHEDRAUI,,Guadalajara,Jalisco,CENTRO,,1
SO-CITY CLUB,SORIANA,,Leon,Guanajuato,NORTE,,1
CL-EXPRESS,CASALEY,,NA,Sonora,NORTE,,1
WM-MI BODEGA AURRERA,WALMART,,Panuco,Veracruz,NORTE,,1
SO-MERCADOS,SORIANA,,Salvador Alvarado,Sinaloa,NORTE,,1
CM-BODEGA,COMERCIAL MEXICANA,,Toluca,Mexico,NA,,1
WM-SUPERAMA,WALMART,WM-WM EXPRESS,Iztapalapa,Distrito Federal,CENTRO,ORO,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Tamazunchale,San Luis Potosi,NORTE,ORO,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Xico,Veracruz,SUR,BRONCE,1
OXXO,OXXO,OXXO,Queretaro,Queretaro,NA,SIN CLUSTER,1
SAMS CLUB,SAMS,,NA,NA,0,,1
WM-BODEGA AURRERA,WALMART,,San Andres Cholula,Puebla,SUR,,1
WM-BOD AURRERA EXPRESS,WALMART,,Huehuetoca,Hidalgo,CENTRO,,1
CL-FIESTA,CASALEY,,Ciudad Obregon,Sonora,NORTE,,2
CH-TIENDAS,TIENDAS CHEDRAUI,,San Juan del Rio,Queretaro,SUR,,1
WM-MI BODEGA AURRERA,WALMART,,Huetamo,Michoacan,CENTRO,,1
JUSTO,JUSTO,,Cholula,Puebla,NA,,1
WM-MI BODEGA AURRERA,WALMART,,Leon,Guanajuato,CENTRO,,1
SAMS CLUB,SAMS,,Navojoa,Sonora,NORTE,,1
CH-SUPERCHE,TIENDAS CHEDRAUI,,Valle de Bravo,Mexico,CENTRO,,1
SO-HIPERMERCADOS,SORIANA,,Xalapa,Veracruz,SUR,,1
SAMS-CEDIS,SAMS,,Cuautitlan Izcalli,Mexico,CENTRO,,1
WM-MI BODEGA AURRERA,WALMART,,Ixtaczoquitlan,Veracruz,SUR,,1
CH-SUPERCITO,TIENDAS CHEDRAUI,,NA,Veracruz,CENTRO,,1
WM-MI BODEGA AURRERA,WALMART,,Xochitepec,Morelos,SUR,,1
CCF-LA COMER,COMERCIAL CITY FRESKO,,Aguascalientes,Aguascalientes,NORTE,,1
WM-MI BODEGA AURRERA,WALMART,,Juan Aldama,Zacatecas,NORTE,,1
WM-MI BODEGA AURRERA,WALMART,,Yajalon,Chiapas,SUR,,1
WM-BODEGA AURRERA,WALMART,,Calzada del Sol,Nuevo Leon,NORTE,,1
WM-BOD AURRERA EXPRESS,WALMART,,Ciudad de Los Mochis,Sinaloa,NORTE,,1
WM-BOD AURRERA EXPRESS,WALMART,,Acapulco de Juarez,Guerrero,0,,1
WM-BOD AURRERA EXPRESS,WALMART,,Pesqueria,Nuevo Leon,SUR,,1
SO-SUPER,SORIANA,,Benito Juarez,Distrito Federal,CENTRO,,1
HEB-CEDIS,HEB,,NA,Coahuila,ND,,3
WM-BOD AURRERA EXPRESS,WALMART,,Cielo Nuevo,Quintana Roo,SUR,,1
SO-SUPER,SORIANA,,Gral. Escobedo,Nuevo Leon,NORTE,,1
CH-TIENDAS,TIENDAS CHEDRAUI,,Emiliano Zapata,Morelos,SUR,,1
CM-AL PRECIO,COMERCIAL MEXICANA,,Yautepec,Morelos,NA,,1
WM-SUPER CENTER,WALMART,WM-SUPERCENTER,Mexicali,Baja California,NORTE,ORO,3
SAMS CLUB,SAMS,SAM-SAMS,Cuauhtemoc,Distrito Federal,CENTRO,SAMS,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Linares,Nuevo Leon,NORTE,ORO,1
ZORRO,ZORRO,NA,Nezahualcoyotl,Mexico,NA,BRONCE,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Chignahuapan,Puebla,SUR,ORO,1
HEB-ECOMMERCE,HEB,NA,Monterrey,Nuevo Leon,NA,BRONCE,1
SAMS CLUB,SAMS,SAM-SAMS,Tecamac,Mexico,CENTRO,SAMS,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Durango,Durango,NORTE,BRONCE,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Zacatelco,Tlaxcala,SUR,ORO,1
CCF-CITY MARKET,COMERCIAL CITY FRESKO,CF-CITY MARKET,Miguel Hidalgo,Distrito Federal,CENTRO,ORO,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Paseos De Chavarria,Hidalgo,SUR,BRONCE,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Teloloapan,Guerrero,SUR,ORO,1
WM-MI BODEGA AURRERA,WALMART,,San Pablo del Monte,Tlaxcala,SUR,,1
WM-BODEGA AURRERA,WALMART,,Tampico,Tamaulipas,NORTE,,2
WM-BOD AURRERA EXPRESS,WALMART,,NA,Campeche,NORTE,,1
SO-MERCADOS,SORIANA,,Guadalupe,Zacatecas,NORTE,,1
WM-SUPER CENTER,WALMART,,Miguel Hidalgo,Distrito Federal,CENTRO,,1
WM-MI BODEGA AURRERA,WALMART,,El Naranjo,San Luis Potosi,NORTE,,1
WM-BOD AURRERA EXPRESS,WALMART,,Ixtlahuacan de los Membrillos,Jalisco,CENTRO,,1
SO-CEDIS,SORIANA,NA,Salinas Victoria,Nuevo Leon,ND,ND,2
7E-7ELEVEN,7ELEVEN,NA,Saltillo,Coahuila,NA,BRONCE,1
CM-COMERCIAL MEXICANA,COMERCIAL MEXICANA,NA,Chalco,Mexico,ND,ND,1
CH-TIENDAS,TIENDAS CHEDRAUI,CH-CHEDRAUI,Tampico,Tamaulipas,NORTE,BRONCE,1
SO-HIPERMERCADOS,SORIANA,SOR-HIPER,Minatitlan,Veracruz,SUR,ORO,1
7E-PLAZA COMERCIAL,7ELEVEN,NA,NA,Distrito Federal,NA,BRONCE,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,NA,Sinaloa,NORTE,BRONCE,1
SO-HIPERMERCADOS,SORIANA,,Tapachula,Chiapas,SUR,,1
WM-MI BODEGA AURRERA,WALMART,,Cacahoatan,Chiapas,SUR,,1
WM-BOD AURRERA EXPRESS,WALMART,,Miravista,Nuevo Leon,NORTE,,1
WM-SUPER CENTER,WALMART,,San Cristobal de las Casas,Chiapas,SUR,,1
SO-HIPERMERCADOS,SORIANA,,San Juan del Rio,Queretaro,SUR,,1
HEB-ECOMMERCE,HEB,,Leon,Guanajuato,0,,1
CCF-SUMESA,COMERCIAL CITY FRESKO,NA,NA,Distrito Federal,NA,NA,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Amozoc,Puebla,SUR,BRONCE,1
CM-AL PRECIO,COMERCIAL MEXICANA,NA,Tecamac,Mexico,ND,ND,1
FU-ALSUPER,FUTURAMA,NA,NA,Coahuila,NORTE,PLATA,1
HEB,HEB,HEB-HEB,Reynosa,Tamaulipas,NORTE,DIAMANTE,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Jamay,Jalisco,CENTRO,PLATA,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,San Felipe del Progreso,Mexico,CENTRO,ORO,1
SO-MERCADOS,SORIANA,SOR-MERCADO,Morelia,Michoacan,CENTRO,BRONCE,1
SO-MERCADOS,SORIANA,SOR-MEGA,San Luis Potosi,San Luis Potosi,NORTE,BRONCE,1
SO-HIPERMERCADOS,SORIANA,SOR-HIPER,Tampico,Tamaulipas,NORTE,PLATA,2
SO-HIPERMERCADOS,SORIANA,SOR-HIPER,Benito Juarez,Distrito Federal,CENTRO,DIAMANTE,3
COSTCO,COSTCO,COSTCO,Los Cabos,Baja California Sur,NORTE,DIAMANTE,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Rio Bravo,Tamaulipas,NORTE,BRONCE,1
CH-SUPERCHE,TIENDAS CHEDRAUI,CH-SUPERCHE,Papantla,Veracruz,SUR,ORO,1
SO-SUPER,SORIANA,SOR-SUPER,Merida,Yucatan,SUR,ORO,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Ensenada,Baja California,NORTE,BRONCE,1
CL-EXPRESS,CASALEY,CL-EXPRESS,Huatabampo,Sonora,NORTE,BRONCE,1
SO-CITY CLUB,SORIANA,NA,Tampico,Tamaulipas,NORTE,BRONCE,1
WM-BOD AURRERA EXPRESS,WALMART,NA,Nicolas Romero,Mexico,CENTRO,BRONCE,1
WM-SUPER CENTER,WALMART,NA,Sahuayo,Michoacan,CENTRO,BRONCE,1
WM-BODEGA AURRERA,WALMART,NA,NA,Nuevo Leon,NORTE,APERTURA,1
SO-SUPER,SORIANA,SOR-HIPER,San Pedro Garza Garcia,Nuevo Leon,NORTE,PLATA,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Platon Sanchez,Veracruz,SUR,BRONCE,1
CH-TIENDAS,TIENDAS CHEDRAUI,CH-CHEDRAUI,Apizaco,Tlaxcala,SUR,ORO,1
OXXO,OXXO,OXXO,Poza Rica,Veracruz,NA,SIN CLUSTER,1
SO-EXPRESS,SORIANA,SOR-EXPRESS,Cintalapa,Chiapas,SUR,BRONCE,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Rioverde,San Luis Potosi,NORTE,DIAMANTE,1
CH-TIENDAS,TIENDAS CHEDRAUI,CH-CHEDRAUI,Venustiano Carranza,Distrito Federal,CENTRO,DIAMANTE,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Manzanillo,Colima,CENTRO,BRONCE,2
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Ebano,San Luis Potosi,NORTE,BRONCE,1
CCF-CITY MARKET,COMERCIAL CITY FRESKO,CF-FRESKO,Cuernavaca,Morelos,SUR,PLATA,1
CL-FIESTA,CASALEY,CL-CASA LEY,Escuinapa,Sinaloa,NORTE,PLATA,1
7E-7ELEVEN,7ELEVEN,NA,NA,Yucatan,ND,BRONCE,1
CH-SUPERCITO,TIENDAS CHEDRAUI,NA,Lomas de Tecamachalco,Mexico,ND,BRONCE,1
CH-SUPERCHE,TIENDAS CHEDRAUI,CH-SUPERCHE,Atoyac de alvarez,Guerrero,SUR,ORO,1
CCF-LA COMER,COMERCIAL CITY FRESKO,CF-COMERCIAL MEXICANA,San Juan del Rio,Queretaro,SUR,ORO,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Zamora,Michoacan,CENTRO,ORO,1
CL-EXPRESS,CASALEY,CL-EXPRESS,Benito Juarez,Sonora,NORTE,BRONCE,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Valle Del Carrizal,Nuevo Leon,NORTE,BRONCE,1
WM-SUPERAMA,WALMART,WM-WM EXPRESS,Naucalpan de Juarez,Mexico,CENTRO,BRONCE,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Corregidora,Queretaro,SUR,DIAMANTE,1
WM-BODEGA AURRERA,WALMART,NA,NA,Campeche,SUR,BRONCE,1
WM-BODEGA AURRERA,WALMART,,Chilpancingo de los Bravo,Guerrero,SUR,,2
WM-MI BODEGA AURRERA,WALMART,,Nextlalpan,Mexico,CENTRO,,1
SO-SUPER CITY,SORIANA,,Queretaro,Queretaro,SUR,,1
WM-MI BODEGA AURRERA,WALMART,,Meoqui,Chihuahua,NORTE,,1
SO-HIPERMERCADOS,SORIANA,,Ciudad Madero,Tamaulipas,NORTE,,1
SO-MERCADOS,SORIANA,,Iztacalco,Distrito Federal,CENTRO,,1
WM-BOD AURRERA EXPRESS,WALMART,,Iztapalapa,Distrito Federal,0,,1
CM-MEGA,COMERCIAL MEXICANA,,Xalapa,Veracruz,NA,,1
CCF-CITY MARKET,COMERCIAL CITY FRESKO,,San Miguel de Allende,Guanajuato,SUR,,1
CITY CLUB,CITY CLUB,,Reynosa,Tamaulipas,NORTE,,1
WM-BODEGA AURRERA,WALMART,,Paseo Del Rey,Mexico,CENTRO,,1
WM-MI BODEGA AURRERA,WALMART,NA,GUADALAJARA,Jalisco,NORTE,BRONCE,1
SO-HIPERMERCADOS,SORIANA,SOR-HIPER,Metropolitana Mexico,Distrito Federal,CENTRO,BRONCE,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Tala,Jalisco,CENTRO,PLATA,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Queretaro,Queretaro,SUR,PLATA,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Tacambaro,Michoacan,CENTRO,PLATA,1
WM-SUPERAMA,WALMART,WM-WM EXPRESS,Centro,Tabasco,SUR,ORO,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Pueblo Nuevo,Durango,NORTE,PLATA,1
SO-HIPERMERCADOS,SORIANA,SOR-HIPER,Alvaro Obregon,Distrito Federal,CENTRO,DIAMANTE,1
WM-BOD AURRERA EXPRESS,WALMART,NA,Reynosa,Tamaulipas,ND,BRONCE,1
CH-SUPERCHE,TIENDAS CHEDRAUI,,San Pedro Pochutla,Oaxaca,SUR,,1
WM-MI BODEGA AURRERA,WALMART,,Acaxochitlan,Hidalgo,SUR,,1
ZORRO,ZORRO,,NA,Puebla,NA,,1
SO-HIPERMERCADOS,SORIANA,,Chapala,Jalisco,CENTRO,,1
WM-SUPER CENTER,WALMART,,Chapala,Jalisco,CENTRO,,1
WM-MI BODEGA AURRERA,WALMART,,Comalcalco,Tabasco,SUR,,1
SO-HIPERMERCADOS,SORIANA,SOR-HIPER,Tlalnepantla de Baz,Mexico,CENTRO,BRONCE,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Tuxpan,Nayarit,CENTRO,PLATA,1
HEB-CEDIS,HEB,HEB-HEB,Monterrey,Nuevo Leon,NORTE,BRONCE,1
WM-MI BODEGA AURRERA,WALMART,NA,NA,Sinaloa,ND,ND,1
SO-MERCADOS,SORIANA,SOR-MERCADO,Tuxpan,Veracruz,SUR,PLATA,1
CL-EXPRESS,CASALEY,NA,NA,NA,ND,ND,1
WM-SUPERAMA,WALMART,WM-WM EXPRESS,Gustavo a Madero,Distrito Federal,CENTRO,ORO,1
CH-CEDIS,TIENDAS CHEDRAUI,CH-CEDIS,Veracruz,Veracruz,SUR,BRONCE,1
CH-TIENDAS,TIENDAS CHEDRAUI,CH-CHEDRAUI,Ciudad Valles,San Luis Potosi,NORTE,ORO,1
WM-BOD AURRERA EXPRESS,WALMART,NA,Tlajomulco De Zuniga,Jalisco,ND,ND,1
OXXO,OXXO,NA,Ciudad Apodaca,Nuevo Leon,ND,ND,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Pichucalco,Chiapas,SUR,PLATA,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Salvatierra,Guanajuato,CENTRO,DIAMANTE,1
FU-ALSUPER,FUTURAMA,FUT-AL SUPER,Calera,Zacatecas,NORTE,PLATA,1
SO-MERCADOS,SORIANA,SOR-MEGA,Garcia,Nuevo Leon,NORTE,BRONCE,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,NA,Yucatan,SUR,BRONCE,1
CH-TIENDAS,TIENDAS CHEDRAUI,CH-CHEDRAUI,Toluca,Mexico,CENTRO,ORO,1
7E-7ELEVEN,7ELEVEN,NA,NA,NA,ND,BRONCE,1
OXXO,OXXO,OXXO,Tijuana,Baja California,NA,SIN CLUSTER,1
SO-CEDIS,SORIANA,SOR-CEDIS,Cuautitlan,Mexico,ND,BRONCE,1
HEB-MI TIENDA,HEB,HEB-MI TIENDA,Monterrey,Nuevo Leon,NORTE,PLATA,1
ZORRO,ZORRO,NA,Chalco,Mexico,NA,SIN CLUSTER,1
CH-SUPERCITO,TIENDAS CHEDRAUI,NA,Chimalhuacan,Mexico,SUR,BRONCE,1
FU-AL SUPER STORE,FUTURAMA,FUT-AL SUPER,Ramos Arizpe,Coahuila,NORTE,ORO,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Rio Blanco,Veracruz,SUR,ORO,1
OXXO,OXXO,NA,NA,Yucatan,NA,NA,1
WM-BOD AURRERA EXPRESS,WALMART,,NA,Morelos,CENTRO,,1
CL-EXPRESS,CASALEY,,Ocotlan,Jalisco,NORTE,,1
WM-CEDIS,WALMART,,Mexicali,Baja California,0,,1
SO-MERCADOS,SORIANA,,Tlaxcala,Tlaxcala,CENTRO,,1
WM-SUPER CENTER,WALMART,,San Francisco del Rincon,Guanajuato,NORTE,,1
WM-MI BODEGA AURRERA,WALMART,,Calkini,Campeche,SUR,,1
CH-DARK STORE,TIENDAS CHEDRAUI,,NA,Puebla,NA,,1
SO-MERCADOS,SORIANA,,Monterrey,Nuevo Leon,NORTE,,2
SO-HIPERMERCADOS,SORIANA,,Tlajomulco De Zuniga,Jalisco,CENTRO,,1
CH-SUPERCITO,TIENDAS CHEDRAUI,,Boca del Rio,Veracruz,SUR,,1
SO-EXPRESS,SORIANA,,San Jose Iturbide,Guanajuato,SUR,,1
WM-BODEGA AURRERA,WALMART,,Moroleon,Guanajuato,CENTRO,,1
CH-SUPERCITO,TIENDAS CHEDRAUI,,NA,Tlaxcala,SUR,,1
WM-SUPER CENTER,WALMART,,Atizapan de Zaragoza,Mexico,CENTRO,,1
SO-SUPER,SORIANA,,Salvador Alvarado,Sinaloa,NA,,1
WM-BOD AURRERA EXPRESS,WALMART,NA,NA,Yucatan,NA,NA,1
WM-BOD AURRERA EXPRESS,WALMART,NA,Reynosa,Tamaulipas,ND,ND,1
