FORMATO,CADENA,SUBCADENA,CIUDAD,ESTADO,REGION,CLUSTER,STORE_COUNT
ZORRO,ZORRO,NA,Chicoloapan,Mexico,NA,BRONCE,1
SO-CEDIS,SORIANA,NA,Pedro Escobedo,Queretaro,ND,ND,1
SO-EXPRESS,SORIANA,SOR-EXPRESS,Tala,Jalisco,CENTRO,BRONCE,1
SAMS CLUB,SAMS,SAM-SAMS,Reynosa,Tamaulipas,NORTE,SAMS,1
SO-HIPERMERCADOS,SORIANA,SOR-HIPER,Jiutepec,Morelos,SUR,PLATA,1
WM-SUPER CENTER,WALMART,WM-SUPERCENTER,Tecate Garita,Baja California,NORTE,ORO,1
SO-MERCADOS,SORIANA,SOR-MERCADO,Tepatitlan de Morelos,Jalisco,CENTRO,BRONCE,1
CM-COMERCIAL MEXICANA,COMERCIAL MEXICANA,NA,Coacalco de Berriozabal,Mexico,ND,ND,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Residencial Real So,Queretaro,SUR,BRONCE,1
CH-SELECTO,TIENDAS CHEDRAUI,CH-SELECTO,Miguel Hidalgo,Distrito Federal,CENTRO,BRONCE,1
WM-MI BODEGA AURRERA,WALMART,NA,Tapilula,Chiapas,SUR,APERTURA,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,La Paz,Baja California Sur,NORTE,ORO,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,San Marcos,Guerrero,SUR,PLATA,1
CH-SUPERCHE,TIENDAS CHEDRAUI,CH-CHEDRAUI,NA,Veracruz,SUR,BRONCE,1
SO-CITY CLUB,SORIANA,NA,Cancun,Quintana Roo,ND,ND,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Salvador Alvarado,Sinaloa,NORTE,ORO,1
CH-TIENDAS,TIENDAS CHEDRAUI,CH-CHEDRAUI,Ecatepec de Morelos,Mexico,CENTRO,ORO,1
OXXO,OXXO,NA,Chilpancingo de los Bravo,Guerrero,ND,ND,1
CH-SELECTO,TIENDAS CHEDRAUI,,Cancun,Quintana Roo,SUR,,1
SO-MERCADOS,SORIANA,,Delicias,Chihuahua,NORTE,,1
SO-HIPERMERCADOS,SORIANA,,Chetumal,Quintana Roo,SUR,,1
WM-BOD AURRERA EXPRESS,WALMART,,Mexicali,Baja California,0,,1
SAMS CLUB,SAMS,,Chilpancingo de los Bravo,Guerrero,SUR,,1
WM-BODEGA AURRERA,WALMART,,Matamoros,Coahuila,NORTE,,1
SO-EXPRESS,SORIANA,,Ixtlahuaca,Mexico,CENTRO,,1
WM-BOD AURRERA EXPRESS,WALMART,,Borneo,Nuevo Leon,NORTE,,1
WM-BOD AURRERA EXPRESS,WALMART,,Diagonal Benito Jua,Puebla,NORTE,,1
WM-MI BODEGA AURRERA,WALMART,,Motul,Yucatan,SUR,,1
SO-EXPRESS,SORIANA,,Oxkutzcab,Yucatan,SUR,,1
SO-MERCADOS,SORIANA,,La Barca,Jalisco,CENTRO,,1
COSTCO,COSTCO,,Guadalajara,Jalisco,0,,1
SO-SUPER,SORIANA,,Tecate,Baja California,NORTE,,1
SO-MERCADOS,SORIANA,,Cienega de Flores,Nuevo Leon,NORTE,,1
CCF-FRESKO,COMERCIAL CITY FRESKO,,Coyoacan,Distrito Federal,CENTRO,,1
CM-MEGA,COMERCIAL MEXICANA,,Mazatlan,Sinaloa,NORTE,,1
CH-SUPERCHE,TIENDAS CHEDRAUI,,Macuspana,Tabasco,SUR,,1
CH-TIENDAS,TIENDAS CHEDRAUI,,Comitan de Dominguez,Chiapas,SUR,,1
CCF-CITY MARKET,COMERCIAL CITY FRESKO,,Puebla,Puebla,SUR,,1
